,P(IPO),P(H),P(L),P(1Day),C1,C2,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3
12,16.0,16.0,14.0,19.7000007629395,126.0,1.0,0.27,0.019731083271667373,3871398.4099999946,3750000.0,26.499,206.0,0.22244890582161683,0.24497310832716676,141.0,259.0,21.0,43.0,80.0
13,25.0,24.0,22.0,33.8800010681152,140.0,1.0,-2.19,-0.0063156046994000984,3806102.5799999954,3700000.0,0.074,416.0,10562.0,-0.22468404422946003,231.0,-0.421215639806514,81.0,118.0,138.0
14,14.5,16.0,15.0,14.6000003814697,488.0,1.0,0.18,0.023274685510332935,14112755.199999984,13750000.0,166.896,624.0,0.1502221902469633,0.1643274685510333,380.0,909.0,98.0,256.0,172.0
15,12.0,16.0,14.0,13.55,233.0,1.0,0.17,-0.08545458841445729,10800157.069999965,10000000.0,510.192,586.0,0.12146362820125314,0.1444545411585543,413.0,649.0,98.0,92.0,155.0
16,11.0,12.0,10.0,12.45,125.0,1.0,0.31,0.0002548563257563511,11925330.329999996,11800000.0,0.25114842270189375,269.0,6456.0,0.2790254856325757,140.0,336.0,36.0,33.0,83.0
17,13.5,16.0,14.0,14.289999961853,77.0,1.0,0.14,-0.0063156046994000984,10130875.909999993,10000000.0,363.465,391.0,0.11220003510711402,0.12536843953006002,247.0,603.0,72.0,134.0,133.0
18,7.0,10.0,8.0,7.17000007629395,92.0,1.0,1.18,0.036830796877746964,8850695.549999977,8300000.0,170.27,528.0,0.816997851406772,0.9036830796877747,323.0,523.0,54.0,75.0,117.0
19,18.0,17.0,15.0,25.1000003814697,207.0,1.0,0.63,-0.01269239188194706,5140459.329999994,5000000.0,132.5,512.0,0.5078884455424302,0.5657307608118054,267.0,429.0,52.0,78.0,91.0
20,11.0,17.0,15.0,11.0,174.0,1.0,-1.43,0.045262646375410436,6795010.54999999,6550000.0,500.45996229508165,473.0,-0.23503725643591747,-0.10226361826213057,296.0,768.0,66.0,136.0,182.0
21,16.0,16.0,14.0,17.25,78.0,1.0,0.67,0.05404000937680397,10550011.199999986,10200000.0,0.5529676017815928,591.0,14315.0,0.6084040009376804,353.0,675.0,57.0,73.0,88.0
22,13.0,14.0,12.0,16.5,68.0,1.0,-0.86,0.002545640136170962,4078949.5599999963,4000000.0,64.606,279.0,-0.1613380314897015,-0.0837089238774461,149.0,308.0,29.0,93.0,97.0
23,6.0,8.0,6.0,6.01000022888184,91.0,1.0,-29.64,0.03582773310561604,5142833.319999994,5000000.0,0.176,248.0,6533.0,-2.931755040204945,150.0,-5.60257953618445,58.0,39.0,100.0
24,15.0,16.0,14.0,16.82,101.0,1.0,-1.39,-0.0017460164572123166,7140019.429999994,7000000.0,3.88,263.0,8601.0,-0.14057141481149105,184.0,-0.26551427333034194,63.0,51.0,93.0
25,8.0,12.0,10.0,85.099983215332,76.0,1.0,-19.2,-0.003957877372461608,5671463.809999993,5500000.0,2.23,259.0,7830.0,-1.923562089635215,156.0,-3.651205880671693,36.0,85.0,119.0
26,6.0,11.0,9.0,6.05999994277954,488.0,1.0,0.38,-0.037115500330326075,6199094.619999992,6000000.0,94.739,499.0,0.3007480549372381,0.33828844996696744,337.0,777.0,91.0,88.0,237.0
27,20.0,20.0,18.0,20.1000003814697,40.0,1.0,-0.41,0.025763708515827013,30418648.56999998,30000000.0,345.322,527.0,-0.07789999999999997,0.0,334.0,-0.04099999999999999,46.0,181.0,167.0
28,10.0,16.0,14.0,10.1700000762939,113.0,1.0,0.5,0.035642375510738435,9013884.559999987,8696820.0,428.516,641.0,0.41177205134704026,0.45356423755107383,436.0,898.0,125.0,164.0,184.0
29,5.0,18.0,16.0,5.09000015258789,75.0,1.0,-0.93,-0.015947285678912314,12146142.269999994,12000000.0,18.643,403.0,12099.0,-0.10735255711102107,281.0,-0.18961730139991895,103.0,102.0,162.0
30,10.0,15.0,13.0,9.57999992370605,42.0,1.0,0.22,-0.037115500330326075,9266654.339999989,9000000.0,257.056,578.0,16953.0,0.1942884499669674,378.0,0.17114805493723806,81.0,87.0,169.0
31,13.0,13.0,11.0,16.2600002288818,84.0,1.0,-0.49,-0.03446512812118845,9261423.35999998,8793408.0,59.039,511.0,16279.0,-0.08001861530906959,348.0,-0.12101675377816262,71.0,99.0,110.0
32,11.0,14.0,12.0,12.5,83.0,0.0,0.13,0.02071500183158597,2041999.999999996,1950000.0,38.434,329.0,0.016779151483584637,0.018643501648427374,175.0,384.0,47.0,47.0,94.0
33,13.5,9.5,8.0,20.29,412.0,1.0,-9.04,0.08509670457922383,28880501.18999997,28180501.0,68.525,536.0,-1.6486716692908283,-0.8274129658786983,304.0,748.0,66.0,149.0,194.0
34,18.0,20.0,16.0,17.7000007629395,29.0,1.0,-0.02,0.016442651117707995,5255999.9999999935,5085985.0,185.076,388.0,12190.0,0.012798386005937195,274.0,0.009518547405343476,56.0,116.0,160.0
35,20.0,19.0,18.0,35.9199981689453,94.0,1.0,0.15,-0.012382727363617861,4811112.719999995,4687500.0,40.045,400.0,10135.0,0.13376172726363822,233.0,0.11914728180091261,47.0,69.0,98.0
36,9.5,7.5,6.5,15.9099998474121,133.0,1.0,0.0,0.05647474671864434,11926857.619999982,11474528.0,36.12,547.0,14728.0,0.050827272046779906,345.0,0.045744544842101914,60.0,149.0,176.0
37,18.0,18.0,17.0,28.4699993133545,87.0,1.0,-0.64,0.016234824406075828,16362124.439999985,16000000.0,52.897,471.0,-0.10844979223107856,-0.04938865803453174,308.0,601.0,65.0,85.0,103.0
38,17.5,16.0,14.0,116.0,160.0,1.0,1.4,0.036866889518440776,6711862.319999993,6535405.0,519.966,322.0,0.8170047090085039,0.9036866889518441,186.0,342.0,35.0,60.0,125.0
39,16.5,17.0,15.0,18.7700004577637,78.0,1.0,0.04,0.05699491838087051,6438567.189999992,6250000.0,32.068,535.0,17094.0,0.05529542654278345,347.0,0.0537658838885051,78.0,84.0,157.0
40,17.0,15.0,13.0,21.2,20.0,1.0,0.51,0.004669618127058825,74844616.47999994,73484164.0,0.41398722744414124,572.0,17353.0,0.4594669618127059,430.0,917.0,84.0,144.0,125.0
41,12.0,16.0,14.0,12.5900001525879,119.0,1.0,1.08,-0.019999416118981355,7786295.839999995,7666667.0,46.672,326.0,0.8062001109373936,0.8980000583881019,195.0,365.0,30.0,68.0,94.0
42,21.0,18.0,16.0,22.9549999237061,38.0,1.0,0.09,0.02925670137266296,8614327.729999995,8500000.0,608.16,657.0,0.07845877326080597,0.0839256701372663,438.0,923.0,111.0,268.0,262.0
43,13.0,16.0,14.0,13.75,112.0,1.0,1.7889040247678045,-0.006417682468154485,13645586.539999986,13350000.0,500.45996229508165,507.0,0.8087806403310506,0.8993582317531845,289.0,701.0,79.0,140.0,142.0
44,9.0,11.0,9.0,8.77999973297119,156.0,1.0,-0.01,-0.0008063218195906665,7102709.95999999,6861919.0,69.833,547.0,17361.0,-0.0017256896376315997,360.0,-0.0025531206738684397,56.0,156.0,194.0
45,6.0,14.0,12.0,7.67,222.0,1.0,-1.42,-0.004839837912175111,4710343.429999995,4600000.0,500.45996229508165,280.0,-0.2737202687088618,-0.14635585412095756,178.0,514.0,37.0,77.0,106.0
46,11.0,10.0,8.0,14.1499996185303,102.0,1.0,-0.16,0.0283099533258931,8671409.779999971,8000000.0,72.503,407.0,12387.0,0.009478957993303793,280.0,-0.007468937806026582,50.0,83.0,97.0
47,11.0,15.0,13.0,14.79,39.0,1.0,-1.0,0.0027190288727909386,7457483.779999988,7200000.0,-0.1877975866130393,223.0,5079.0,-0.09755287401448813,104.0,292.0,29.0,60.0,76.0
48,9.0,12.0,11.0,8.97999954223633,116.0,1.0,-9.12,-0.02246402239096419,9554602.22999999,9300000.0,74.005,1386.0,39669.0,-0.9322176201518675,845.0,-1.7509958581366805,309.0,760.0,701.0
49,18.0,16.0,14.0,35.5,90.0,1.0,-0.29,0.03469512390660059,6539954.79999999,6286819.0,75.813,453.0,11688.0,0.002225611515940539,281.0,-0.026996949635653505,40.0,75.0,135.0
50,12.0,14.0,12.0,14.0799999237061,107.0,1.0,-0.79,0.015487112031121256,4079015.2999999966,4000000.0,19.157,248.0,6630.0,-0.06506159917199086,153.0,-0.13755543925479177,51.0,54.0,161.0
51,7.5,9.0,8.0,7.19999980926514,93.0,1.0,-59.08,-0.05993323169635589,5650871.269999994,5500000.0,8.822,292.0,6340.0,-5.961939908526719,151.0,-11.273745917674045,34.0,40.0,103.0
52,17.0,16.0,14.0,23.9300003051758,117.0,1.0,0.62,0.002756461109020153,6814564.8299999945,6700000.0,139.357,328.0,0.5027237276107139,0.5582756461109021,209.0,380.0,59.0,59.0,81.0
53,9.0,15.0,13.0,8.98999977111816,86.0,1.0,-1.49,0.049754821648229856,9206448.309999991,9000000.0,20.719,449.0,14954.0,-0.1042206605165931,312.0,-0.24279859446493374,99.0,98.0,189.0
54,15.0,15.0,13.0,16.1800003051758,350.0,1.0,0.35,0.059353423385064455,45126882.02999991,43200000.0,1699.0,840.0,0.2947771504431623,0.32093534233850646,462.0,1442.0,128.0,324.0,315.0
55,10.0,14.0,12.0,10.0,77.0,1.0,-16.37,0.08987183041029774,6167604.149999993,6000000.0,500.45996229508165,267.0,-3.0375038173676585,-1.5561153526307319,154.0,450.0,35.0,51.0,85.0
56,43.0,43.0,40.0,38.37,90.0,1.0,38.5,-0.01458233982616616,9319318.02999999,9058450.0,0.8072293554330285,476.0,13269.0,0.8985417660173834,302.0,459.0,102.0,75.0,155.0
57,10.5,12.0,10.0,9.48999977111816,149.0,0.0,-1.63,-0.02469393686831301,2806549.5799999977,2750000.0,1.9,270.0,6360.0,-0.18522454318148165,146.0,-0.3297020888633334,63.0,38.0,72.0
58,27.0,27.0,24.0,40.2099990844727,110.0,1.0,0.21,0.01929958934297418,1590298.0399999663,800000.0,167.884,780.0,26431.0,0.19092995893429743,560.0,0.1737669219751651,124.0,157.0,292.0
59,21.0,26.0,24.0,20.6000003814697,238.0,1.0,-2.14,0.00430373527330501,59019999.99999996,58000000.0,-0.4031139744286229,783.0,21801.0,-0.21012663825402547,498.0,1217.0,138.0,299.0,248.0
60,23.0,23.0,21.0,26.6000003814697,67.0,1.0,-0.02,0.012708623146163443,9500819.999999983,9090900.0,32.978,547.0,13486.0,0.009437760831547098,331.0,0.006493984748392389,64.0,84.0,175.0
61,18.0,21.0,19.0,18.23,59.0,1.0,-0.66,0.002046754742247154,5106903.739999995,5000000.0,389.962,517.0,13075.0,-0.06415792073197756,320.0,-0.12374212865877979,100.0,167.0,189.0
62,17.0,19.0,17.0,19.25,149.0,1.0,-0.47,-0.012062164680420817,15066223.499999955,14000000.0,-0.05785594821237872,632.0,20576.0,-0.09907035339114084,468.0,1006.0,115.0,162.0,166.0
63,14.0,16.0,14.0,13.960000038147,147.0,1.0,-158.2,0.04638015077402592,16361650.879999999,16300000.0,-30.020432077873032,180.0,4348.0,-15.778257864303372,100.0,221.0,9.0,37.0,60.0
64,22.0,17.0,15.0,27.1499996185303,91.0,1.0,0.28,0.050890498603735436,16710280.92999997,16000000.0,259.295,1285.0,41864.0,0.2570890498603736,886.0,0.2364691947347098,285.0,575.0,594.0
65,20.0,12.0,11.0,21.5,0.3746454354811248,1.0,0.46,0.01076544990065678,12712853.58999999,12500000.0,311.502,548.0,12533.0,0.4150765449900657,292.0,650.0,76.0,127.0,126.0
66,14.0,15.0,13.0,20.0100002288818,105.0,1.0,-2.09,0.00549637470275211,5696689.1699999925,5500000.0,92.478,388.0,10337.0,-0.20405326276752303,240.0,-0.3926479364907707,33.0,56.0,89.0
67,25.0,23.0,20.0,29.0499992370605,238.0,1.0,-4.16,0.019731083271667373,13283719.81999999,13000000.0,75.436,594.0,15381.0,-0.39824202505549927,347.0,-0.7744178225499493,48.0,152.0,178.0
68,13.0,12.0,10.0,17.0,83.0,1.0,0.16,-0.061579848740387674,11164190.67999998,10700000.0,176.624,387.0,0.11789982873932636,0.13784201512596125,264.0,539.0,32.0,101.0,125.0
69,14.0,16.0,14.0,15.9499998092651,111.0,1.0,0.18,0.03611721593918047,10092499.999999994,10000000.0,311.709,467.0,0.1526622710284443,0.16561172159391804,267.0,555.0,77.0,99.0,124.0
70,20.0,18.0,16.0,25.0499992370605,77.0,1.0,0.46,0.010983105662161895,7602696.419999994,7482000.0,213.672,356.0,0.3746867900758108,0.4150983105662162,214.0,365.0,49.0,52.0,95.0
71,11.0,12.0,10.0,14.3000001907349,177.0,1.0,-4.75,0.051526532500396634,5213750.369999991,5000000.0,60.169,619.0,16546.0,-0.4286261207496429,394.0,-0.8607635086746785,47.0,123.0,191.0
72,15.5,15.0,13.0,16.7000007629395,96.0,0.0,-0.34,0.018065909915302072,3237883.9199999985,3200000.0,37.811,298.0,-0.06459999999999999,-0.033999999999999996,196.0,270.0,30.0,48.0,97.0
73,13.0,15.0,12.0,12.65,214.0,0.0,0.63,0.03228429921272611,14006449.999999978,13500000.0,143.062,334.0,0.02615028236230815,0.0290558692914535,218.0,469.0,33.0,107.0,98.0
74,18.0,20.0,18.0,17.7000007629395,215.0,1.0,2.89,-0.03834154622795221,4685438.619999992,4500000.0,72.992,479.0,0.8027151062166891,0.8961658453772048,247.0,576.0,39.0,113.0,146.0
75,13.0,14.0,12.0,10.6599998474121,118.0,1.0,0.18,0.019835982850230017,13628591.269999994,13500000.0,559.54,391.0,0.14956883674154373,0.163983598285023,219.0,422.0,57.0,80.0,94.0
76,22.0,21.0,19.0,28.3199996948242,93.0,1.0,0.13,0.010500794785178772,10627711.189999979,10100000.0,0.10729515100918396,467.0,16360.0,0.11805007947851788,351.0,742.0,61.0,77.0,250.0
77,8.0,11.0,9.0,8.55000019073486,79.0,1.0,-0.26,0.0111853044880828,10345962.299999984,10000000.0,22.65,405.0,-0.04033990336465292,-0.015933225960725474,214.0,458.0,58.0,100.0,122.0
78,5.25,16.0,14.0,5.0,371.0,0.0,-0.7,-0.016128119258393494,1233471.3799999943,1100000.0,500.45996229508165,374.0,-0.1460637765992987,-0.08451530733255412,242.0,515.0,50.0,92.0,100.0
79,15.0,16.0,14.0,72.0,93.0,1.0,-1.68,0.003353816539135266,5144108.359999994,5000000.0,500.45996229508165,319.0,-0.3164834086033004,-0.1649815651147782,195.0,616.0,70.0,74.0,143.0
80,10.5,14.0,13.0,86.9935302734375,188.0,1.0,-0.03,0.0033405857511660856,5522499.999999989,5250000.0,500.45996229508165,250.0,-0.002994125541555469,6.527176049478042e-06,167.0,341.0,35.0,50.0,119.0
81,17.0,17.0,15.0,17.5,91.0,1.0,0.44,-0.05797847449374761,26080488.399999954,25000000.0,1.94,605.0,20037.0,0.39020215255062524,449.0,0.34538408984618796,218.0,251.0,148.0
82,7.75,8.0,7.0,8.29,-0.00868326091689034,0.0,0.9,-0.045701373246791265,2188874.7299999986,2160000.0,148.224,280.0,6364.0,-0.004570137324679126,141.0,305.0,30.0,66.0,89.0
83,11.0,15.0,13.0,12.4099998474121,124.0,1.0,0.84,0.02181132592841911,17039061.669999957,16000000.0,0.6845441519263996,721.0,26820.0,0.7581811325928419,540.0,1358.0,131.0,277.0,284.0
84,17.0,17.0,16.0,25.0699996948242,111.0,1.0,-0.28,-0.002117746190072883,5209050.09999999,5000000.0,24.568,557.0,13821.0,-0.02990597157106559,326.0,-0.05491537441395903,54.0,79.0,142.0
85,5.0,6.0,5.0,25.0,198.0,0.0,-0.36,0.009750672113699626,3042772.499999998,3000000.0,8.235,464.0,13061.0,-0.03599999999999999,286.0,-0.06839999999999999,55.0,128.0,148.0
86,13.837666174298375,15.481190476190477,13.515044642857143,25.93476614935861,149.72878787878787,0.8590909090909091,1.7889040247678045,0.007282201411438542,12784619.88044377,12415194.229289941,500.45996229508165,538.0,0.6972472546318097,0.773910038322962,301.0,631.0,94.0,172.0,116.0
87,8.0,13.0,11.0,8.25,91.0,1.0,-0.77,-0.02372061747056409,4709673.6999999955,4600000.0,4.517,382.0,8348.0,-0.09834855572350767,177.0,-0.1655137001511569,48.0,88.0,89.0
88,19.0,18.0,16.0,35.9199981689453,118.0,1.0,1.22,0.0645993451786608,5116460.019999995,5000000.0,117.616,343.0,0.8222738755839456,0.9064599345178661,251.0,458.0,69.0,93.0,95.0
89,13.0,16.0,14.0,13.0,100.0,1.0,1.8,0.02105232914807478,5104056.829999995,5000000.0,198.834,379.0,0.8139999425381342,0.9021052329148075,253.0,477.0,74.0,100.0,105.0
90,10.0,18.0,16.0,11.0,213.0,1.0,-0.79,0.051102896447133964,9595678.119999995,9500000.0,141.873,674.0,-0.10870665387782147,-0.03300739319757942,434.0,890.0,66.0,224.0,181.0
91,10.5,16.0,14.0,11.1000003814697,114.0,1.0,0.5,0.07222780488186492,13896397.229999982,13500000.0,218.29,446.0,0.41872328292755434,0.4572227804881865,279.0,620.0,35.0,132.0,111.0
92,17.0,16.0,14.0,18.4699993133545,14.0,0.0,-0.21,-0.017173041723842902,5233599.999999994,5100000.0,21.873,348.0,-0.05381016379631273,-0.0364557375514586,197.0,376.0,46.0,77.0,81.0
93,9.0,11.0,9.0,8.30000019073486,93.0,1.0,0.32,0.0418707113204849,7672177.189999992,7500000.0,95.623,841.0,21926.0,0.2921870711320485,524.0,0.26715543515089213,71.0,181.0,239.0
94,15.0,16.0,14.0,14.6,83.0,1.0,-83.95,-0.030411457792077785,5167922.599999992,5000000.0,0.367,213.0,4951.0,-8.422370312012868,107.0,-15.97513328081158,22.0,29.0,99.0
95,9.5,10.0,8.0,10.7,97.0,0.0,0.1,0.033593111500030436,2030002.5799999987,2000000.0,14.798,307.0,0.027210420315024655,0.030233800350027394,152.0,302.0,49.0,47.0,70.0
96,12.0,10.0,8.0,16.5100002288818,182.0,1.0,-0.35,0.03382320623002174,9484296.0,9484296.0,64.482,514.0,21326.0,-0.004559114392980422,396.0,-0.03910320295368237,139.0,110.0,198.0
97,17.0,16.0,14.0,11.4750003814697,71.0,0.0,0.32,-0.023035852320323243,3047121.1599999983,3000000.0,96.107,301.0,-0.004376811940861415,-0.002303585232032324,155.0,338.0,21.0,77.0,53.0
98,12.0,12.0,10.0,16.65,88.0,0.0,0.03,-0.02372061747056409,6126776.719999995,6000000.0,12.231,456.0,-0.004506917319407176,-0.0023720617470564084,246.0,515.0,30.0,92.0,115.0
99,15.0,18.0,16.0,14.6000003814697,96.0,1.0,0.26,-0.013719046092875624,10154682.899999995,10039216.0,918.513,500.0,0.20799338124235364,0.23262809539071244,306.0,738.0,80.0,146.0,181.0
100,20.0,17.0,15.0,26.0,94.0,1.0,0.99,0.030198862266011022,8382094.709999976,7812500.0,1392.423,675.0,0.8076377838305421,0.8940198862266011,465.0,1191.0,120.0,146.0,192.0
101,5.5,6.0,5.0,6.09000015258789,139.0,0.0,-0.17,0.025837184637571033,5603229.749999996,5500000.0,-0.032299999999999995,155.0,3670.0,-0.016999999999999998,78.0,211.0,10.0,20.0,64.0
102,9.0,15.0,11.0,9.39999961853027,100.0,1.0,-0.27,0.024348418198384663,6220455.399999991,6000000.0,-0.031577781259308414,219.0,6176.0,-0.005086423621453798,138.0,335.0,34.0,55.0,102.0
103,14.0,14.0,12.0,17.3700008392334,58.0,1.0,-13.98,-0.013856032240963977,5174882.609999992,5000000.0,26.586,413.0,10936.0,-1.4104704290168673,278.0,-2.66742338611518,39.0,92.0,201.0
104,10.0,11.0,9.0,9.55,140.0,1.0,0.29,0.015247641034643978,4149050.3999999934,4000000.0,22.488,303.0,7924.0,0.2625247641034644,184.0,0.23779705179658236,63.0,78.0,76.0
105,13.0,13.0,11.0,15.1000003814697,124.0,1.0,-0.62,0.053363823247533915,6628617.999999988,6328932.0,232.947,541.0,-0.07457530316949751,-0.013972559077219462,353.0,720.0,67.0,168.0,188.0
106,15.0,16.0,14.0,15.0,98.0,1.0,0.56,-0.010094639243490348,5913089.199999995,5800000.0,500.45996229508165,707.0,0.4516820185437369,0.502990536075651,436.0,586.0,101.0,160.0,170.0
107,10.0,17.0,15.0,12.3500003814697,91.0,1.0,-1.07,-0.1623519476777104,6427501.049999992,6250000.0,38.563,389.0,13094.0,-0.25311675290993935,280.0,-0.3348050776189454,57.0,99.0,160.0
108,10.0,16.0,14.0,9.5,95.0,1.0,-0.46,0.05537992930521834,12265662.06999999,12000000.0,293.605,765.0,23527.0,0.003841936374696514,544.0,-0.04254225726277313,120.0,202.0,271.0
109,12.0,14.0,13.0,12.0,170.0,1.0,-0.46,0.041111496865316996,6326861.259999992,6132353.0,113.311,668.0,-0.05409968753909322,-0.008999652821214697,407.0,878.0,98.0,300.0,145.0
110,14.0,15.0,13.0,13.0,72.0,1.0,-0.11,-0.02469393686831301,5497040.859999994,5358000.0,160.871,400.0,10224.0,-0.03322454318148171,242.0,-0.04090208886333353,32.0,91.0,77.0
111,18.0,22.0,20.0,18.5499992370605,93.0,1.0,-0.44,0.06085692819100021,38149999.999999866,35000000.0,-0.03430588816528981,502.0,14176.0,0.010771235371900202,328.0,1011.0,59.0,165.0,320.0
112,19.0,19.0,17.0,20.65,422.0,1.0,-0.93,0.002309869621072027,22976114.89999996,22000000.0,348.869,461.0,-0.17482900560693165,-0.09092111734103517,251.0,678.0,46.0,93.0,119.0
113,5.25,7.0,6.0,5.3,270.0,0.0,1.7889040247678045,0.009441568676369546,1273407.479999997,1200000.0,500.45996229508165,347.0,0.007647670627859332,0.008497411808732591,242.0,492.0,73.0,97.0,136.0
114,16.0,21.0,19.0,16.0,79.0,1.0,-1.76,-0.05858667395878593,51086752.70999995,50000000.0,-0.3818552059066166,1105.0,29474.0,-0.22872800656290732,695.0,1743.0,265.0,553.0,270.0
115,4.5,6.5,5.5,25.93476614935861,149.72878787878787,0.8590909090909091,1.7889040247678045,0.007282201411438542,5143678.729999993,5000000.0,500.45996229508165,351.0,0.6972472546318097,0.773910038322962,235.0,482.0,52.0,124.0,120.0
116,6.0,13.0,11.0,6.05999994277954,114.0,0.0,-1.12,0.047780887304086854,8513688.619999995,8400000.0,500.45996229508165,411.0,-0.2128,-0.11199999999999999,325.0,786.0,82.0,146.0,198.0
117,15.0,15.0,13.0,17.3500003814697,79.0,1.0,0.1,0.03380491886864125,8591325.449999996,8500000.0,371.445,460.0,0.08742293458504184,0.09338049188686413,258.0,471.0,83.0,121.0,125.0
118,13.0,17.0,16.0,118.400001525879,275.0,1.0,-12.4,0.047564541326239926,5184779.069999992,5000000.0,6.616,552.0,16370.0,-1.197191912806384,407.0,-2.3174727215257453,106.0,105.0,193.0
119,16.0,17.0,15.0,3.24000024795532,87.0,1.0,0.246,-0.010885933923670295,41387499.99999999,41250000.0,0.19719167255450268,549.0,14563.0,0.220311406607633,373.0,754.0,134.0,109.0,130.0
120,18.0,17.0,15.0,21.0,125.0,1.0,1.6,0.04154455600912957,18974435.25999999,18750000.0,506.305,473.0,0.8178934656417347,0.904154455600913,312.0,713.0,85.0,208.0,215.0
121,16.0,16.0,14.0,85.6,70.0,1.0,-37.9,-0.013775441835218064,6201132.939999992,6000000.0,8.678,184.0,4372.0,-3.8023978976516952,100.0,-7.212158107886525,28.0,38.0,50.0
122,15.0,16.0,14.0,17.5,107.0,1.0,0.79,-0.039305049874703096,9116666.669999996,9000000.0,330.118,324.0,0.6324320405238065,0.7070694950125298,216.0,481.0,86.0,82.0,110.0
123,3.0,5.0,4.0,25.93476614935861,149.72878787878787,0.8590909090909091,59.261,0.007282201411438542,3448937.0399999954,3350000.0,59.261,406.0,12065.0,0.773910038322962,282.0,0.6972472546318097,72.0,169.0,182.0
124,17.0,17.0,15.0,21.0,137.0,1.0,0.26,-0.0028482541806786194,7618913.059999995,7500000.0,207.502,444.0,11520.0,0.23371517458193214,256.0,0.21005883170567105,36.0,108.0,151.0
125,15.0,18.0,16.0,14.8400001525879,100.0,1.0,2.0,0.05699491838087051,30609020.0,30600000.0,1239.711,656.0,0.0,0.051295426542783455,486.0,0.04616588388850511,77.0,229.0,219.0
126,13.0,17.0,15.0,11.8999996185303,98.0,1.0,0.33,-0.009069643520976828,8418229.709999995,8300000.0,519.023,520.0,0.2655767677310144,0.29609303564790235,357.0,555.0,87.0,74.0,105.0
127,13.0,18.0,16.0,13.25,331.0,1.0,0.1,-0.02246402239096419,9120266.019999992,8950000.0,388.556,441.0,0.07673183574571682,0.08775359776090359,243.0,464.0,59.0,80.0,81.0
128,25.0,25.0,23.0,23.09397,79.0,1.0,-2.93,-0.045928277974958534,25093252.359999955,24000000.0,100.181,579.0,14175.0,-0.3343354501774626,327.0,-0.5939019051597163,64.0,147.0,175.0
129,13.5,12.0,10.0,24.0,100.0,1.0,-0.44,0.04437081598735093,6236713.089999991,6000000.0,23.333,547.0,13649.0,-0.004066265611384151,314.0,-0.04765963905024573,57.0,144.0,147.0
130,13.0,15.0,13.0,13.75,37.0,1.0,0.24,0.03380491886864125,14656760.579999994,14500000.0,502.6,444.0,0.20082293458504183,0.21938049188686412,273.0,579.0,71.0,104.0,168.0
131,13.0,16.0,14.0,13.789999961853,226.0,1.0,-1.79,0.059454155167011566,15806874.439999994,15666666.0,269.608,817.0,-0.29194213431472055,-0.12549126034968955,531.0,1080.0,94.0,274.0,183.0
