,C1,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3,C5p,C2,C3p
33,254.375,-2.535,0.08509670457922383,95288875.75,22329369.875,68.525,536.0,13374.0,12334.0,304.0,748.0,66.0,149.0,194.0,3.4839877403173207,1.0,1
34,29.0,-0.02,0.016442651117707995,22087485.0,5085985.0,185.076,388.0,12190.0,11085.0,274.0,677.0,56.0,116.0,160.0,4.3428136339371815,1.0,1
35,94.0,0.15,-0.01238272736361786,17048772.0,4687500.0,40.045,400.0,10135.0,9114.0,233.0,545.0,47.0,69.0,98.0,3.63707136,1.0,0
36,133.0,0.0,0.05647474671864434,56707490.0,11474528.0,36.12,547.0,14728.0,13418.0,345.0,841.0,60.0,149.0,176.0,4.942032474015488,1.0,0
37,87.0,-0.64,0.016234824406075828,52212444.0,16000000.0,52.897,471.0,12754.0,11459.0,308.0,601.0,65.0,85.0,103.0,3.26327775,1.0,1
38,160.0,1.4,0.036866889518440776,24181137.0,6535405.0,519.966,322.0,7738.0,6866.0,186.0,342.0,35.0,60.0,125.0,3.7000211922596993,1.0,0
39,78.0,0.04,0.056994918380870514,25106719.0,6250000.0,32.068000000000005,535.0,17094.0,14915.0,347.0,927.0,78.0,84.0,157.0,4.01707504,1.0,0
40,20.0,0.51,0.004669618127058825,95288875.75,22329369.875,662.1277499999999,572.0,17353.0,15234.0,430.0,917.0,84.0,144.0,125.0,2.8513546401643763,1.0,0
41,119.0,1.08,-0.019999416118981355,19629551.0,7666667.0,46.672,326.0,7912.0,6987.0,195.0,365.0,30.0,68.0,94.0,2.560376106070604,1.0,0
42,38.0,0.09,0.029256701372662963,19932773.0,8500000.0,608.16,657.0,18736.0,17202.0,438.0,923.0,111.0,244.875,262.0,2.345032117647059,1.0,0
43,112.0,0.01,-0.006417682468154485,42908654.0,13350000.0,103.833,507.0,12468.0,11248.0,289.0,701.0,79.0,140.0,142.0,3.2141313857677902,1.0,0
44,156.0,-0.01,-0.0008063218195906665,30941015.0,6861919.0,69.833,547.0,17361.0,14536.0,360.0,860.0,56.0,156.0,194.0,4.509090678569653,1.0,1
45,222.0,-1.42,-0.004839837912175111,15634343.0,4600000.0,103.833,280.0,8296.0,7337.0,178.0,514.0,37.0,77.0,106.0,3.3987702173913044,1.0,1
46,102.0,-0.16,0.0283099533258931,75140978.0,8000000.0,72.503,407.0,12387.0,11330.0,280.0,613.0,50.0,83.0,97.0,7.882540768354138,1.0,1
47,39.0,-1.0,0.0027190288727909386,32948378.0,7200000.0,103.833,223.0,5079.0,4700.0,104.0,292.0,29.0,60.0,76.0,4.576163611111111,1.0,1
48,116.0,-2.535,-0.02246402239096419,34760223.0,9300000.0,74.005,850.0,24307.0,22126.75,564.5,1292.875,144.375,244.875,282.5,3.7376583870967743,1.0,1
49,90.0,-0.29,0.03469512390660059,31600399.0,6286819.0,75.813,453.0,11688.0,10445.0,281.0,630.0,40.0,75.0,135.0,5.026452805464894,1.0,1
50,107.0,-0.79,0.015487112031121256,11901530.0,4000000.0,19.157,248.0,6630.0,5936.0,153.0,410.0,51.0,54.0,161.0,2.9753825000000003,1.0,1
51,93.0,-2.535,-0.059933231696355886,20587127.0,5500000.0,8.822000000000001,292.0,6340.0,5777.0,151.0,369.0,34.0,40.0,103.0,3.743114,1.0,1
52,117.0,0.62,0.002756461109020153,18156483.0,6700000.0,139.357,328.0,9472.0,8162.0,209.0,380.0,59.0,59.0,81.0,2.7099228358208958,1.0,0
53,86.0,-1.49,0.049754821648229856,29644831.0,9000000.0,20.719,449.0,14954.0,13497.0,312.0,819.0,99.0,98.0,189.0,3.293870111111111,1.0,1
54,254.375,0.35,0.05935342338506445,95288875.75,22329369.875,662.1277499999999,840.0,22107.0,19522.0,462.0,1292.875,128.0,244.875,282.5,5.460375069444446,1.0,0
55,77.0,-2.535,0.08987183041029774,22760415.0,6000000.0,103.833,267.0,6877.0,6211.0,154.0,450.0,35.0,51.0,85.0,3.7934025,1.0,1
56,90.0,2.225,-0.01458233982616616,35145253.0,9058450.0,662.1277499999999,476.0,13269.0,11798.0,302.0,459.0,102.0,75.0,155.0,3.8798307657491073,1.0,0
57,149.0,-1.63,-0.024693936868313008,8404958.0,2750000.0,1.9,270.0,6360.0,5780.0,146.0,356.0,63.0,38.0,72.0,3.0563483636363635,0.0,1
58,110.0,0.21,0.019299589342974183,79829804.0,800000.0,167.88400000000001,780.0,24307.0,22079.0,560.0,1173.0,124.0,157.0,282.5,7.882540768354138,1.0,0
59,238.0,-2.14,0.00430373527330501,95288875.75,22329369.875,662.1277499999999,783.0,21801.0,20113.0,498.0,1217.0,138.0,244.875,248.0,2.7586206896551726,1.0,1
60,67.0,-0.02,0.012708623146163443,50082900.0,9090900.0,32.978,547.0,13486.0,12249.0,331.0,714.0,64.0,84.0,175.0,5.509124509124509,1.0,1
61,59.0,-0.66,0.002046754742247154,15690374.0,5000000.0,389.962,517.0,13075.0,11937.0,320.0,759.0,100.0,167.0,189.0,3.1380748,1.0,1
62,149.0,-0.47,-0.012062164680420815,95288875.75,14000000.0,662.1277499999999,632.0,20576.0,18272.0,468.0,1006.0,115.0,162.0,166.0,7.882540768354138,1.0,1
63,147.0,-2.535,0.04638015077402592,22465088.0,16300000.0,103.833,180.0,4348.0,4183.0,100.0,221.0,9.0,37.0,60.0,1.3782262576687117,1.0,1
64,91.0,0.28,0.050890498603735436,87028093.0,16000000.0,259.295,850.0,24307.0,22126.75,564.5,1292.875,144.375,244.875,282.5,5.4392558125,1.0,0
65,254.375,0.46,0.01076544990065678,33785359.0,12500000.0,311.502,548.0,12533.0,11201.0,292.0,650.0,76.0,127.0,126.0,2.70282872,1.0,0
66,105.0,-2.09,0.00549637470275211,25168917.0,5500000.0,92.478,388.0,10337.0,9215.0,240.0,552.0,33.0,56.0,89.0,4.576166727272726,1.0,1
67,238.0,-2.535,0.019731083271667373,41371982.0,13000000.0,75.436,594.0,15381.0,13806.0,347.0,768.0,48.0,152.0,178.0,3.1824601538461534,1.0,1
68,83.0,0.16,-0.061579848740387674,57119068.0,10700000.0,176.62400000000002,387.0,10581.0,9530.0,264.0,539.0,32.0,101.0,125.0,5.338230654205606,1.0,0
69,111.0,0.18,0.03611721593918047,19250000.0,10000000.0,311.709,467.0,11002.0,9842.0,267.0,555.0,77.0,99.0,124.0,1.925,1.0,0
70,77.0,0.46,0.010983105662161895,19551642.0,7482000.0,213.672,356.0,9137.0,8186.0,214.0,365.0,49.0,52.0,95.0,2.613157177225341,1.0,0
71,177.0,-2.535,0.05152653250039664,26375037.0,5000000.0,60.169,619.0,16546.0,15111.0,394.0,943.0,47.0,123.0,191.0,5.2750074,1.0,1
72,96.0,-0.34,0.018065909915302072,6988392.0,3200000.0,37.811,298.0,7231.0,6423.0,196.0,270.0,30.0,48.0,97.0,2.1838724999999997,0.0,1
73,214.0,0.63,0.03228429921272611,64145000.0,13500000.0,143.062,334.0,8894.0,8060.0,218.0,469.0,33.0,107.0,98.0,4.751481481481481,0.0,0
74,215.0,2.225,-0.03834154622795221,23043862.0,4500000.0,72.992,479.0,11080.0,9905.0,247.0,576.0,39.0,113.0,146.0,5.120858222222221,1.0,0
75,118.0,0.18,0.019835982850230017,26359127.0,13500000.0,559.54,391.0,9391.0,8434.0,219.0,422.0,57.0,80.0,94.0,1.9525279259259256,1.0,0
76,93.0,0.13,0.010500794785178772,62871119.0,10100000.0,662.1277499999999,467.0,16360.0,13826.0,351.0,742.0,61.0,77.0,250.0,6.224863267326733,1.0,0
77,79.0,-0.26,0.0111853044880828,44596230.0,10000000.0,22.65,405.0,9017.0,8307.0,214.0,458.0,58.0,100.0,122.0,4.459623000000001,1.0,1
78,254.375,-0.7,-0.016128119258393494,14447138.0,1100000.0,103.833,374.0,11812.0,10743.0,242.0,515.0,50.0,92.0,100.0,7.882540768354138,0.0,1
79,93.0,-1.68,0.003353816539135266,19410836.0,5000000.0,103.833,319.0,9399.0,8613.0,195.0,616.0,70.0,74.0,143.0,3.8821672,1.0,1
80,188.0,-0.03,0.0033405857511660856,32500000.0,5250000.0,103.833,250.0,6792.0,6380.0,167.0,341.0,35.0,50.0,119.0,6.190476190476191,1.0,1
81,91.0,0.44,-0.057978474493747614,95288875.75,22329369.875,1.94,605.0,20037.0,17715.0,449.0,1215.0,144.375,244.875,148.0,5.3219536,1.0,0
82,254.375,0.9,-0.04570137324679128,5047473.0,2160000.0,148.224,280.0,6364.0,5625.0,141.0,305.0,30.0,66.0,89.0,2.3367930555555554,0.0,0
83,124.0,0.84,0.02181132592841911,95288875.75,16000000.0,662.1277499999999,721.0,24307.0,22126.75,540.0,1292.875,131.0,244.875,282.5,7.4941354375,1.0,0
84,111.0,-0.28,-0.002117746190072883,25905010.0,5000000.0,24.568,557.0,13821.0,12524.0,326.0,772.0,54.0,79.0,142.0,5.181001999999999,1.0,1
85,198.0,-0.36,0.009750672113699626,7277250.0,3000000.0,8.235,464.0,13061.0,11992.0,286.0,774.0,55.0,128.0,148.0,2.42575,0.0,1
86,107.0,0.01,0.00912459122415893,27400178.0,7398703.5,103.833,538.0,12732.0,11126.0,301.0,631.0,94.0,172.0,116.0,3.70337559817068,1.0,0
87,91.0,-0.77,-0.02372061747056409,15567370.0,4600000.0,4.5169999999999995,382.0,8348.0,7626.0,177.0,519.0,48.0,88.0,89.0,3.384210869565217,1.0,1
88,118.0,1.22,0.0645993451786608,16646002.0,5000000.0,117.616,343.0,11441.0,9614.0,251.0,458.0,69.0,93.0,95.0,3.3292004,1.0,0
89,100.0,1.8,0.02105232914807478,15405683.0,5000000.0,198.834,379.0,10627.0,9495.0,253.0,477.0,74.0,100.0,105.0,3.0811366000000002,1.0,0
90,213.0,-0.79,0.05110289644713397,19067812.0,9500000.0,141.873,674.0,17968.0,15879.0,434.0,890.0,66.0,224.0,181.0,2.007138105263158,1.0,1
91,114.0,0.5,0.07222780488186492,53139723.0,13500000.0,218.29,446.0,11805.0,10764.0,279.0,620.0,35.0,132.0,111.0,3.9362757777777784,1.0,0
92,14.0,-0.21,-0.017173041723842902,18460000.0,5100000.0,21.873,348.0,8624.0,7620.0,197.0,376.0,46.0,77.0,81.0,3.619607843137255,0.0,1
93,93.0,0.32,0.0418707113204849,24717719.0,7500000.0,95.62299999999999,841.0,21926.0,19908.0,524.0,1292.875,71.0,181.0,239.0,3.2956958666666667,1.0,0
94,83.0,-2.535,-0.03041145779207778,21792260.0,5000000.0,0.36700000000000005,213.0,4951.0,4613.0,107.0,356.0,22.0,29.0,99.0,4.358452,1.0,1
95,97.0,0.1,0.033593111500030436,5000258.0,2000000.0,14.798,307.0,6993.0,6068.0,152.0,302.0,49.0,47.0,70.0,2.5001290000000003,0.0,0
96,182.0,-0.35,0.03382320623002174,9484296.0,9484296.0,64.482,514.0,21326.0,17574.0,396.0,889.0,139.0,110.0,198.0,1.0,1.0,1
97,71.0,0.32,-0.023035852320323243,7712116.0,3000000.0,96.10700000000001,301.0,6746.0,5723.0,155.0,338.0,21.0,77.0,53.0,2.570705333333333,0.0,0
98,88.0,0.03,-0.02372061747056409,18677672.0,6000000.0,12.231,456.0,10949.0,10098.0,246.0,515.0,30.0,92.0,115.0,3.112945333333333,0.0,0
99,96.0,0.26,-0.013719046092875624,21585906.0,10039216.0,662.1277499999999,500.0,13118.0,11870.0,306.0,738.0,80.0,146.0,181.0,2.150158538276296,1.0,0
100,94.0,0.99,0.030198862266011026,64771971.0,7812500.0,662.1277499999999,675.0,19188.0,17466.0,465.0,1191.0,120.0,146.0,192.0,7.882540768354138,1.0,0
101,139.0,-0.17,0.025837184637571037,15822975.0,5500000.0,103.833,155.0,3670.0,3291.0,78.0,211.0,10.0,20.0,64.0,2.8769045454545457,0.0,1
102,100.0,-0.27,0.024348418198384663,28045540.0,6000000.0,103.833,219.0,6176.0,5588.0,138.0,335.0,34.0,55.0,102.0,4.6742566666666665,1.0,1
103,58.0,-2.535,-0.013856032240963977,22488261.0,5000000.0,26.586,413.0,10936.0,9806.0,278.0,697.0,39.0,92.0,201.0,4.4976522,1.0,1
104,140.0,0.29,0.015247641034643978,18905040.0,4000000.0,22.488000000000003,303.0,7924.0,7112.0,184.0,467.0,63.0,78.0,76.0,4.72626,1.0,0
105,124.0,-0.62,0.05336382324753392,36297532.0,6328932.0,232.947,541.0,15241.0,13991.0,353.0,720.0,67.0,168.0,188.0,5.735174907867553,1.0,1
106,98.0,0.56,-0.010094639243490348,17108920.0,5800000.0,103.833,707.0,18547.0,16397.0,436.0,586.0,101.0,160.0,170.0,2.9498137931034485,1.0,0
107,91.0,-1.07,-0.07978998452796494,24000105.0,6250000.0,38.563,389.0,13094.0,10922.0,280.0,649.0,57.0,99.0,160.0,3.8400168,1.0,1
108,95.0,-0.46,0.05537992930521834,38566207.0,12000000.0,293.605,765.0,23527.0,21301.0,544.0,1292.875,120.0,202.0,271.0,3.213850583333333,1.0,1
109,170.0,-0.46,0.041111496865317,25583179.0,6132353.0,113.311,668.0,18177.0,16384.0,407.0,878.0,98.0,244.875,145.0,4.1718373029080364,1.0,1
110,72.0,-0.11,-0.024693936868313008,19262086.0,5358000.0,160.871,400.0,10224.0,8735.0,242.0,627.0,32.0,91.0,77.0,3.5950141843971632,1.0,1
111,93.0,-0.44,0.06085692819100021,95288875.75,22329369.875,662.1277499999999,502.0,14176.0,12830.0,328.0,1011.0,59.0,165.0,282.5,7.882540768354138,1.0,1
112,254.375,-0.93,0.002309869621072027,95288875.75,22000000.0,348.869,461.0,10824.0,9517.0,251.0,678.0,46.0,93.0,119.0,5.4368859090909085,1.0,1
113,254.375,0.01,0.009441568676369545,8540748.0,1200000.0,103.833,347.0,10344.0,9413.0,242.0,492.0,73.0,97.0,136.0,7.11729,0.0,0
114,79.0,-1.76,-0.058586673958785924,95288875.75,22329369.875,662.1277499999999,850.0,24307.0,22126.75,564.5,1292.875,144.375,244.875,270.0,3.17350542,1.0,1
115,107.0,0.01,0.00912459122415893,19367873.0,5000000.0,103.833,351.0,10352.0,9296.0,235.0,482.0,52.0,124.0,120.0,3.8735746,1.0,0
116,114.0,-1.12,0.04778088730408685,19768862.0,8400000.0,103.833,411.0,15449.0,13760.0,325.0,786.0,82.0,146.0,198.0,2.3534359523809525,0.0,1
117,79.0,0.1,0.03380491886864125,17632545.0,8500000.0,371.445,460.0,10470.0,9025.0,258.0,471.0,83.0,121.0,125.0,2.0744170588235296,1.0,0
118,254.375,-2.535,0.047564541326239926,23477907.0,5000000.0,6.6160000000000005,552.0,16370.0,14921.0,407.0,829.0,106.0,105.0,193.0,4.695581400000001,1.0,1
119,87.0,0.24600000000000002,-0.010885933923670295,55000000.0,22329369.875,662.1277499999999,549.0,14563.0,13072.0,373.0,754.0,134.0,109.0,130.0,1.3333333333333333,1.0,0
120,125.0,1.6,0.04154455600912957,41193526.0,18750000.0,506.305,473.0,13364.0,12112.0,312.0,713.0,85.0,208.0,215.0,2.196988053333333,1.0,0
121,70.0,-2.535,-0.013775441835218064,26113294.0,6000000.0,8.677999999999999,184.0,4372.0,3950.0,100.0,276.0,28.0,38.0,50.0,4.352215666666667,1.0,1
122,107.0,0.79,-0.039305049874703096,20666667.0,9000000.0,330.11800000000005,324.0,9268.0,8267.0,216.0,481.0,86.0,82.0,110.0,2.2962963333333333,1.0,0
123,107.0,2.225,0.00912459122415893,13243704.0,3350000.0,59.261,406.0,12065.0,11056.0,282.0,667.0,72.0,169.0,182.0,3.9533444776119397,1.0,0
124,137.0,0.26,-0.0028482541806786194,19391306.0,7500000.0,207.502,444.0,11520.0,10301.0,256.0,714.0,36.0,108.0,151.0,2.585507466666667,1.0,0
125,100.0,2.0,0.056994918380870514,31502000.0,22329369.875,662.1277499999999,656.0,129.0,18173.0,486.0,1135.0,77.0,229.0,219.0,1.0294771241830063,1.0,0
126,98.0,0.33,-0.009069643520976828,20122971.0,8300000.0,519.023,520.0,14111.0,12212.0,357.0,555.0,87.0,74.0,105.0,2.4244543373493976,1.0,0
127,254.375,0.1,-0.02246402239096419,25976602.0,8950000.0,388.556,441.0,10174.0,8833.0,243.0,464.0,59.0,80.0,81.0,2.9024136312849156,1.0,0
128,79.0,-2.535,-0.04592827797495853,95288875.75,22329369.875,100.181,579.0,14175.0,12724.0,327.0,762.0,64.0,147.0,175.0,5.555218166666666,1.0,1
129,100.0,-0.44,0.04437081598735093,29671309.0,6000000.0,23.333000000000002,547.0,13649.0,12553.0,314.0,711.0,57.0,144.0,147.0,4.945218166666667,1.0,1
130,37.0,0.24,0.03380491886864125,30176058.0,14500000.0,502.6,444.0,11249.0,10105.0,273.0,579.0,71.0,104.0,168.0,2.0811074482758616,1.0,0
131,226.0,-1.79,0.059454155167011566,29687510.0,15666666.0,269.608,817.0,21885.0,19296.0,531.0,1080.0,94.0,244.875,183.0,1.894947527444576,1.0,1
132,94.0,-0.13,0.016442651117707995,16505470.0,5132728.0,63.086000000000006,639.0,16242.0,14886.0,380.0,808.0,78.0,134.0,198.0,3.2157305043244064,0.0,1
133,77.0,-2.535,0.013148883711569307,26675374.0,6000000.0,103.833,201.0,4914.0,4435.0,118.0,322.0,38.0,37.0,65.0,4.445895666666667,1.0,1
134,133.0,0.14,0.008014169559762604,78000000.0,18000000.0,32.179,419.0,10764.0,9856.0,259.0,643.0,-1.0,97.0,134.0,4.333333333333333,1.0,0
135,112.0,-1.89,-0.006455284788673374,24800441.0,6000000.0,14.344000000000001,337.0,7944.0,7063.0,178.0,471.0,71.0,68.0,75.0,4.133406833333333,1.0,1
136,190.0,-0.35,0.008465131972944255,17517723.0,5300000.0,33.873000000000005,446.0,13076.0,11561.0,292.0,641.0,38.0,118.0,150.0,3.305230754716981,1.0,1
137,63.0,0.13,-0.0035916357394070756,22412040.0,4150000.0,378.525,462.0,13073.0,11606.0,295.0,644.0,53.0,153.0,169.0,5.400491566265059,0.0,0
138,83.0,-1.15,0.03789430732969007,31688068.0,6000000.0,103.833,204.0,5329.0,4918.0,124.0,303.0,25.0,90.0,101.0,5.281344666666667,1.0,1
139,64.0,-1.13,0.06947587823623698,22642128.0,4500000.0,103.833,132.0,3752.0,3440.0,94.0,257.0,13.0,45.0,65.0,5.031584,1.0,1
140,126.0,1.05,-0.00670254782597516,16020154.0,7058870.0,320.732,600.0,17001.0,15198.0,386.0,819.0,62.0,129.0,158.0,2.2695068757464014,1.0,0
141,254.375,0.28,0.044272134313262886,23484039.0,5000000.0,35.075,398.0,9214.0,8205.0,218.0,492.0,35.0,53.0,137.0,4.6968078,1.0,0
142,203.0,1.16,0.00895365761153808,70508690.0,22329369.875,662.1277499999999,503.0,13988.0,12358.0,292.0,722.0,62.0,122.0,172.0,2.711872692307692,1.0,0
143,91.0,-2.535,-0.014905424266206996,9449337.0,3500000.0,2.056,326.0,7983.0,7197.0,185.0,390.0,22.0,64.0,90.0,2.6998105714285714,0.0,1
144,23.0,-0.45,-0.011281887075742946,24492427.0,6500000.0,164.044,578.0,13819.0,12325.0,338.0,747.0,46.0,153.0,156.0,3.768065692307693,1.0,1
145,254.375,0.43,0.00314882531779097,27282235.0,6250000.0,587.899,391.0,9798.0,8599.0,239.0,474.0,75.0,104.0,120.0,4.365157599999999,1.0,0
146,93.0,0.38,6.118775639270778e-05,16247115.0,8850000.0,32.82,461.0,13124.0,11673.0,291.0,637.0,28.0,210.0,166.0,1.8358322033898304,1.0,0
147,177.0,0.26,-0.015121373258590741,38272247.0,9900000.0,108.581,399.0,9581.0,8564.0,219.0,487.0,60.0,96.0,114.0,3.865883535353536,1.0,0
148,11.0,0.24,0.049754821648229856,13500000.0,13500000.0,16.87,271.0,7059.0,6572.0,157.0,382.0,26.0,69.0,91.0,1.0,1.0,0
149,100.0,-2.535,0.026627414345186208,10598319.0,3709090.0,0.493,240.0,5857.0,5358.0,126.0,297.0,27.0,52.0,100.0,2.857390626811428,0.0,1
150,254.375,-0.2,0.04356371060724448,10833611.0,5300000.0,50.556000000000004,473.0,12416.0,10835.0,296.0,651.0,86.0,127.0,115.0,2.0440775471698114,1.0,1
151,17.0,0.19,0.017113521083632423,27270000.0,7700000.0,18.324,680.0,17884.0,16256.0,427.0,842.0,108.0,133.0,167.0,3.5415584415584416,1.0,0
152,35.0,0.87,0.03113477157157728,33366250.0,6660000.0,259.671,628.0,18818.0,17076.0,437.0,1003.0,112.0,155.0,234.0,5.009947447447448,1.0,0
153,89.0,-0.29,0.05063222853902577,27085362.0,6700000.0,27.552,364.0,9528.0,8599.0,235.0,475.0,38.0,51.0,84.0,4.042591343283582,1.0,1
154,96.0,0.7,0.05436796021880253,6830767.0,2307692.0,76.58800000000001,238.0,7439.0,5979.0,147.0,358.0,33.0,38.0,54.0,2.959999427999924,0.0,0
155,79.0,0.62,0.04161250286003572,11995000.0,3850000.0,157.19799999999998,379.0,8656.0,7826.0,201.0,393.0,34.0,54.0,111.0,3.1155844155844155,1.0,0
156,76.0,0.29,-0.02780558531861782,16988751.0,9250000.0,287.579,448.0,11504.0,10115.0,252.0,593.0,91.0,116.0,152.0,1.8366217297297296,1.0,0
157,254.375,2.22,0.0009944971818087848,83141291.0,20000000.0,662.1277499999999,850.0,24307.0,22126.75,564.5,1292.875,144.375,244.875,282.5,4.15706455,1.0,0
158,101.0,0.27,-0.0464621559185416,72499911.0,20887107.0,198.29,475.0,13415.0,11775.0,299.0,685.0,44.0,120.0,129.0,3.4710365107049053,1.0,0
159,120.0,0.52,0.01076544990065678,10242877.0,5000000.0,41.633,357.0,10058.0,8948.0,235.0,483.0,46.0,60.0,93.0,2.0485754000000003,1.0,0
160,93.0,-2.535,-0.03041145779207778,26845343.0,6900000.0,10.577,246.0,6263.0,5637.0,140.0,389.0,54.0,48.0,84.0,3.890629420289855,1.0,1
161,85.0,-2.535,0.04946365377677967,95288875.75,1811313.0,662.1277499999999,488.0,15252.0,13819.0,365.0,709.0,111.0,244.875,197.0,7.882540768354138,1.0,1
162,127.0,-0.19,-0.006315604699400098,20502757.0,7500000.0,40.71,501.0,14090.0,12203.0,327.0,728.0,55.0,94.0,129.0,2.733700933333333,1.0,1
