,I1,I2,I3,P(IPO),P(1Day),C1,C2,C3,C4,C6,C7,T5,S3,Y1,Y2,C3p,C5p,C6p,Pmid,LongSentences,RealWords,LongWords,PositiveWords,NegativeWords,UncertainWords
15,AH,R1 RCM INC. ,7389,12.0,13.55,233.0,1.0,0.17,-0.08545458841445729,10000000.0,510.19199999999995,649.0,155.0,1,1,1,9.0015707,0.0,15.0,0.7047781569965871,0.8699151140998788,0.03577334362253335,0.0054018300077169,0.005071105721530151,0.008543710726491016
16,AHII,"ANIMAL HEALTH HOLDINGS, INC.",5047,11.0,12.45,125.0,1.0,0.31,0.00025485632575635107,11800000.0,571.192,336.0,83.0,0,1,1,2.062121440677966,0.0,11.0,0.5204460966542751,0.8808859975216853,0.05204460966542751,0.0055762081784386614,0.005111524163568773,0.012856257744733582
17,AIMC,Altra Industrial Motion Corp. ,3568,13.5,14.289999961853,77.0,1.0,0.14,-0.006315604699400098,10000000.0,363.465,603.0,133.0,1,1,1,2.3087591,0.0,15.0,0.6317135549872123,0.8469351704645822,0.05325914149443561,0.006359300476947536,0.011835364776541247,0.011747041158805864
18,AIRV,AIRVANA INC,3661,7.0,7.17000007629395,92.0,1.0,1.18,0.036830796877746964,8300000.0,170.27,523.0,117.0,1,1,1,7.634886144578314,0.0,9.0,0.6117424242424242,0.9197247706422018,0.03869488014205386,0.003995264871263687,0.005548978987866233,0.008656407221071322
19,ALGT,Allegiant Travel CO ,4512,18.0,25.100000381469698,207.0,1.0,0.63,-0.01269239188194706,5000000.0,132.5,429.0,91.0,0,1,1,3.8091866,12.5,16.0,0.521484375,0.8720472440944882,0.03671687778158165,0.004450530640191715,0.0066757959602875725,0.007788428620335502
20,ALIM,ALIMERA SCIENCES INC ,2834,11.0,11.0,174.0,1.0,-1.43,0.045262646375410436,6550000.0,500.4599622950817,768.0,182.0,1,0,0,4.740619083969466,0.0,16.0,0.6257928118393234,0.9057314687341497,0.05564814143902616,0.0047822621549163105,0.009854358379827548,0.013187450184769219
21,ALJ,"Alon USA Energy, Inc. ",2911,16.0,17.25,78.0,1.0,0.67,0.05404000937680397,10200000.0,1707.5639999999999,675.0,88.0,0,1,1,4.431482352941177,6.666666666666667,15.0,0.5972927241962775,0.867481662591687,0.04715333566189312,0.003981837233670974,0.005099545930841775,0.006147397834439399
22,ALLI,ALLION HEALTHCARE INC,8099,13.0,16.5,68.0,1.0,-0.86,0.002545640136170962,4000000.0,64.60600000000001,308.0,97.0,0,1,0,2.973739,0.0,13.0,0.5340501792114696,0.8964834830263358,0.04688689298218907,0.004414674988582737,0.014157405997868777,0.014766326685949155
23,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",2834,6.0,6.0100002288818395,91.0,1.0,-29.64,0.03582773310561604,5000000.0,0.17600000000000002,384.0,100.0,1,1,0,3.8566664,0.0,7.0,0.6048387096774194,0.9148936170212766,0.058778509107607534,0.008878003979794888,0.00596969233124139,0.015306903413439462
24,ALTU,Altus Pharmaceuticals Inc. ,2836,15.0,16.82,101.0,1.0,-1.39,-0.0017460164572123164,7000000.0,3.88,473.0,93.0,0,1,0,3.000277571428571,0.0,15.0,0.6996197718631179,0.890942913614696,0.05499360539472154,0.007324729682595047,0.005929543076386466,0.010812696198116497
25,ALXA,Alexza Pharmaceuticals Inc. ,2834,8.0,85.099983215332,76.0,1.0,-19.2,-0.003957877372461608,5500000.0,2.23,453.0,119.0,1,1,0,4.117523818181819,0.0,11.0,0.6023166023166023,0.8982120051085568,0.057854406130268196,0.004597701149425287,0.010855683269476373,0.015197956577266922
26,AMBA,AMBARELLA INC ,3674,6.0,6.05999994277954,488.0,1.0,0.38,-0.03711550033032608,6000000.0,94.73899999999999,777.0,237.0,1,1,1,4.318243666666667,0.0,10.0,0.6753507014028056,0.9295108615339146,0.057410964977094726,0.006723806709029112,0.0065021427515885915,0.017511452637801093
27,AMIS,AMIS HOLDINGS INC,3674,20.0,20.1000003814697,40.0,1.0,-0.41,0.025763708515827013,30000000.0,345.32199999999995,809.0,167.0,0,1,0,2.3954952333333335,5.2631578947368425,19.0,0.6337760910815939,0.0,0.05391176862588298,0.0030654404904704785,0.012061841929894708,0.011128881780621085
28,AMRC,"Ameresco, Inc.",4931,10.0,10.1700000762939,113.0,1.0,0.5,0.035642375510738435,8696820.0,428.51599999999996,898.0,184.0,1,1,1,4.645752815396892,0.0,15.0,0.6801872074882995,0.892447522181346,0.04858255788790305,0.006762605496645748,0.008872538411599221,0.00995455529106254
29,ANAC,"Anacor Pharmaceuticals, Inc.",2834,5.0,5.09000015258789,75.0,1.0,-0.93,-0.015947285678912314,12000000.0,18.643,626.0,162.0,1,1,0,2.21785225,0.0,17.0,0.6972704714640199,0.9123068022150591,0.051739813207703114,0.008513100256219522,0.008430448797421275,0.013389536325316143
30,ANFI,Amira Nature Foods Ltd. ,2000,10.0,9.579999923706051,42.0,1.0,0.22,-0.03711550033032608,9000000.0,257.056,885.0,169.0,1,0,1,3.962826,0.0,14.0,0.6539792387543253,0.8951807939597711,0.05220314988497611,0.004777915413201203,0.00513183507343833,0.009968737096679054
31,ANGI,"Angie's List, Inc. ",7379,13.0,16.2600002288818,84.0,1.0,-0.49,-0.03446512812118845,8793408.0,59.038999999999994,776.0,110.0,0,1,0,6.3223432826044235,8.333333333333334,12.0,0.6810176125244618,0.852816512070766,0.04766877572332453,0.004361447263345414,0.006081454634805578,0.006757171816450642
32,ANGO,ANGIODYNAMICS INC,3841,11.0,12.5,83.0,0.0,0.13,0.02071500183158597,1950000.0,38.434,384.0,94.0,1,1,1,5.717948717948718,0.0,13.0,0.5319148936170213,0.8800670953312832,0.05367626502655857,0.006569751188146492,0.006569751188146492,0.013139502376292984
33,AONE,"B456 SYSTEMS, INC. ",3690,13.5,20.29,412.0,1.0,-9.04,0.08509670457922383,28180501.0,68.525,748.0,194.0,0,1,0,3.4839877403173207,54.285714285714285,8.75,0.5671641791044776,0.9222371766113354,0.05592941528338567,0.00493494840735756,0.01114101988933752,0.014505757439808583
34,AOSL,ALPHA & OMEGA SEMICONDUCTOR Ltd,3674,18.0,17.7000007629395,29.0,1.0,-0.02,0.016442651117707995,5085985.0,185.076,677.0,160.0,0,0,0,4.342813633937182,0.0,18.0,0.7061855670103093,0.9093519278096801,0.05553732567678425,0.004593929450369155,0.00951599671862182,0.013125512715340444
35,APEI,AMERICAN PUBLIC EDUCATION INC,8221,20.0,35.9199981689453,94.0,1.0,0.15,-0.01238272736361786,4687500.0,40.045,545.0,98.0,0,1,1,3.63707136,8.108108108108109,18.5,0.5825,0.8992599901332018,0.053774050320670945,0.0046373951652688705,0.00680809077454366,0.009669462259496794
36,APKT,ACME PACKET INC,3576,9.5,15.9099998474121,133.0,1.0,0.0,0.05647474671864434,11474528.0,36.12,841.0,176.0,0,1,0,4.942032474015489,35.714285714285715,7.0,0.6307129798903108,0.9110537751222162,0.05710211841390549,0.004073872895165671,0.010116784356328082,0.011950027159152634
37,ARAY,ACCURAY INC CIK,3841,18.0,28.469999313354503,87.0,1.0,-0.64,0.016234824406075828,16000000.0,52.897,601.0,103.0,0,1,0,3.26327775,2.857142857142857,17.5,0.6539278131634819,0.898463227222832,0.047122471381527364,0.0050964403324447235,0.006664575819350792,0.008075897757566253
38,ARBX,ARBINET Corp,7389,17.5,116.0,160.0,1.0,1.4,0.036866889518440776,6535405.0,519.966,342.0,125.0,0,1,1,3.7000211922596993,16.666666666666668,15.0,0.577639751552795,0.8873093822693202,0.04419746704574826,0.004523132592401137,0.007753941586973378,0.016154044972861204
39,ARCL,"Archipelago Learning, Inc.",8200,16.5,18.770000457763697,78.0,1.0,0.04,0.056994918380870514,6250000.0,32.068000000000005,927.0,157.0,0,1,1,4.01707504,3.125,16.0,0.6485981308411215,0.8725283725283726,0.05422955422955423,0.004563004563004563,0.004914004914004914,0.009184509184509184
40,ARCO,Arcos Dorados Holdings Inc. ,5812,17.0,21.2,20.0,1.0,0.51,0.004669618127058825,73484164.0,3018.118,917.0,125.0,0,1,1,2.851354640164376,21.428571428571427,14.0,0.7517482517482518,0.8778885495303406,0.052843888664784185,0.004840661557079467,0.008298276954993373,0.007203365412320637
41,AREX,Approach Resources Inc,1311,12.0,12.5900001525879,119.0,1.0,1.08,-0.019999416118981355,7666667.0,46.672,365.0,94.0,1,1,1,2.560376106070604,0.0,15.0,0.598159509202454,0.8830889787664308,0.0461324570273003,0.0037917087967644083,0.008594539939332659,0.011880687563195146
42,ARII,"American Railcar Industries, Inc. ",3743,21.0,22.9549999237061,38.0,1.0,0.09,0.029256701372662963,8500000.0,608.16,923.0,262.0,0,1,1,2.345032117647059,23.529411764705884,17.0,0.6666666666666666,0.9181255337318531,0.049263450042698546,0.005924423569598634,0.01430401366353544,0.013983774551665244
43,ARP,"ARC DOCUMENT SOLUTIONS, INC.",7334,13.0,13.75,112.0,1.0,1.7889040247678043,-0.006417682468154485,13350000.0,500.4599622950817,701.0,142.0,1,1,1,3.2141313857677902,0.0,15.0,0.5700197238658777,0.902149502726981,0.05622393326916907,0.006336220725056144,0.01122874558870709,0.011389156239974335
44,ARST,ArcSight Inc ,7372,9.0,8.77999973297119,156.0,1.0,-0.01,-0.0008063218195906665,6861919.0,69.833,860.0,194.0,1,0,0,4.509090678569653,0.0,10.0,0.6581352833638026,0.837278958585335,0.04953631703242901,0.0032256206439721215,0.008985657508208053,0.011174471516617707
45,ARTE,ARTES MEDICAL INC,2834,6.0,7.67,222.0,1.0,-1.42,-0.004839837912175111,4600000.0,500.4599622950817,514.0,106.0,1,1,0,3.3987702173913044,0.0,13.0,0.6357142857142857,0.8844021215043394,0.061957569913211184,0.004459980713596914,0.009281581485053038,0.012777242044358728
46,ARUN,"ARUBA NETWORKS, INC.",3577,11.0,14.1499996185303,102.0,1.0,-0.16,0.0283099533258931,8000000.0,72.503,613.0,97.0,0,1,0,9.39262225,22.22222222222222,9.0,0.687960687960688,0.9146686041818035,0.049487365786711875,0.00403648986841043,0.006700573181561314,0.007830790344716235
47,ASPV,Aspreva Pharmaceuticals CORP,2834,11.0,14.79,39.0,1.0,-1.0,0.0027190288727909386,7200000.0,500.4599622950817,292.0,76.0,1,1,0,4.576163611111111,0.0,14.0,0.4663677130044843,0.92537901161646,0.05749163221106517,0.0057097853908249655,0.011813349084465446,0.014963575506989565
48,ATEC,"Alphatec Holdings, Inc. ",3841,9.0,8.97999954223633,116.0,1.0,-9.12,-0.02246402239096419,9300000.0,74.005,2268.0,701.0,1,0,0,3.7376583870967743,0.0,11.5,0.6096681096681097,0.8965943179812952,0.057173107464266806,0.007789457762988732,0.01915853689278782,0.01767122942347929
49,ATHN,ATHENAHEALTH INC,7389,18.0,35.5,90.0,1.0,-0.29,0.03469512390660059,6286819.0,75.813,630.0,135.0,0,1,0,5.026452805464894,20.0,15.0,0.6203090507726269,0.8936516084873375,0.053901437371663245,0.0034223134839151265,0.006416837782340862,0.011550308008213552
50,ATRC,"AtriCure, Inc.",3841,12.0,14.0799999237061,107.0,1.0,-0.79,0.015487112031121256,4000000.0,19.157,410.0,161.0,1,1,0,2.9753825,0.0,13.0,0.6169354838709677,0.8953242835595777,0.06184012066365008,0.007692307692307693,0.008144796380090498,0.024283559577677225
51,AUXL,AUXILIUM PHARMACEUTICALS INC ,2834,7.5,7.199999809265139,93.0,1.0,-59.08,-0.059933231696355886,5500000.0,8.822000000000001,369.0,103.0,1,0,0,3.743114,0.0,8.5,0.5171232876712328,0.911198738170347,0.0582018927444795,0.005362776025236593,0.006309148264984227,0.016246056782334387
52,AVAV,AeroVironment Inc ,3721,17.0,23.9300003051758,117.0,1.0,0.62,0.002756461109020153,6700000.0,139.357,380.0,81.0,0,1,1,2.7099228358208953,13.333333333333334,15.0,0.6371951219512195,0.8616976351351351,0.04011824324324324,0.006228885135135135,0.006228885135135135,0.00855152027027027
53,AVEO,AVEO PHARMACEUTICALS INC,2834,9.0,8.98999977111816,86.0,1.0,-1.49,0.049754821648229856,9000000.0,20.719,819.0,189.0,1,0,0,3.293870111111111,0.0,14.0,0.6948775055679287,0.9025678748161027,0.05476795506219072,0.006620302260264812,0.006553430520262137,0.01263875886050555
54,AVGO,Broadcom Ltd ,3674,15.0,16.1800003051758,350.0,1.0,0.35,0.05935342338506445,43200000.0,1699.0,1442.0,315.0,0,1,1,5.460375069444445,7.142857142857143,14.0,0.55,0.8830687112679242,0.0652282082598272,0.005790021260234315,0.014655991314968109,0.014248880445107885
55,AVNC,"MiddleBrook Pharmaceuticals, Inc.",2834,10.0,10.0,77.0,1.0,-16.37,0.08987183041029774,6000000.0,500.4599622950817,450.0,85.0,1,0,0,3.7934025,0.0,13.0,0.5767790262172284,0.903155445688527,0.06543550966991421,0.005089428529882216,0.007416024429256944,0.012360040715428238
56,AVR,AVENTINE RENEWABLE ENERGY HOLDINGS INC,2869,43.0,38.37,90.0,1.0,38.5,-0.01458233982616616,9058450.0,935.4680000000001,459.0,155.0,0,0,1,3.8798307657491073,3.6144578313253013,41.5,0.634453781512605,0.8891401009872636,0.03459190594619037,0.007687090210264526,0.005652272213429799,0.011681362574421584
57,AVRX,AVALON PHARMACEUTICALS INC,2834,10.5,9.48999977111816,149.0,0.0,-1.63,-0.024693936868313008,2750000.0,1.9,356.0,72.0,1,0,0,3.0563483636363635,0.0,11.0,0.5407407407407407,0.9088050314465409,0.0559748427672956,0.00990566037735849,0.005974842767295598,0.011320754716981131
58,AWAY,HOMEAWAY INC,7389,27.0,40.209999084472706,110.0,1.0,0.21,0.019299589342974183,800000.0,167.88400000000001,1173.0,292.0,0,1,1,99.787255,5.882352941176471,25.5,0.717948717948718,0.8353448602020355,0.04437970564867012,0.00469146078468465,0.005939994703189437,0.011047633460709015
59,AWK,"American Water Works Company, Inc.",4941,21.0,20.6000003814697,238.0,1.0,-2.14,0.00430373527330501,58000000.0,2214.215,1217.0,248.0,1,0,0,2.7586206896551726,0.0,25.0,0.6360153256704981,0.9225723590660979,0.055823127379478005,0.006329984863079675,0.013714967203339297,0.01137562497133159
60,AYR,Aircastle LTD ,7359,23.0,26.600000381469698,67.0,1.0,-0.02,0.012708623146163443,9090900.0,32.978,714.0,175.0,0,1,0,5.509124509124509,4.545454545454546,22.0,0.6051188299817185,0.9082752484057541,0.05294379356369568,0.004745662168174403,0.006228681595728904,0.012976419991101884
61,BAGL,EINSTEIN NOAH RESTAURANT GROUP INC,5812,18.0,18.23,59.0,1.0,-0.66,0.002046754742247154,5000000.0,389.962,759.0,189.0,1,1,0,3.1380748,0.0,20.0,0.6189555125725339,0.9129636711281071,0.05804971319311664,0.0076481835564053535,0.01277246653919694,0.014455066921606119
62,BAH,Booz Allen Hamilton Holding Corp,7373,17.0,19.25,149.0,1.0,-0.47,-0.012062164680420815,14000000.0,4351.218,1006.0,166.0,1,1,0,8.615882142857142,0.0,18.0,0.740506329113924,0.8880248833592534,0.048891912908242616,0.005589035769828927,0.007873250388802489,0.00806765163297045
63,BALT,Baltic Trading Ltd ,4412,14.0,13.960000038147,147.0,1.0,-158.2,0.04638015077402592,16300000.0,500.4599622950817,221.0,60.0,1,0,0,1.3782262576687117,0.0,15.0,0.5555555555555556,0.9620515179392825,0.050827966881324745,0.0020699172033118675,0.008509659613615455,0.013799448022079117
64,BARE,BARE ESCENTUALS INC,2844,22.0,27.149999618530302,91.0,1.0,0.28,0.050890498603735436,16000000.0,259.295,2569.0,594.0,0,1,1,5.4392558125,37.5,16.0,0.6894941634241245,0.8766959678960443,0.061365373590674566,0.006807758455952609,0.013734951270781578,0.014188801834511752
65,BAS,BASIC ENERGY SERVICES INC,1389,20.0,21.5,2087.0,1.0,0.46,0.01076544990065678,12500000.0,311.502,650.0,126.0,0,1,1,2.70282872,73.91304347826087,11.5,0.5328467153284672,0.8937205776749382,0.05186308146493258,0.006063991063592117,0.010133248224686827,0.010053458868586931
66,BBBB,BLACKBOARD INC,7372,14.0,20.0100002288818,105.0,1.0,-2.09,0.00549637470275211,5500000.0,92.478,552.0,89.0,0,1,0,4.576166727272727,0.0,14.0,0.6185567010309279,0.8914578697881397,0.053400406307439294,0.0031924155944664796,0.005417432523943117,0.008609848118409596
67,BBG,BILL BARRETT CORP,1311,25.0,29.0499992370605,238.0,1.0,-4.16,0.019731083271667373,13000000.0,75.436,768.0,178.0,0,1,0,3.182460153846154,16.27906976744186,21.5,0.5841750841750841,0.8976009362200117,0.04993173395748001,0.0031207333723425007,0.009882322345751251,0.01157271958910344
68,BBND,"BigBand Networks, Inc. ",3663,13.0,17.0,83.0,1.0,0.16,-0.061579848740387674,10700000.0,176.62400000000002,539.0,125.0,0,1,1,5.338230654205607,18.181818181818183,11.0,0.6821705426356589,0.9006710140818448,0.050940364804838864,0.00302428881958227,0.00954541158680654,0.011813628201493242
69,BBRG,"Bravo Brio Restaurant Group, Inc. ",5812,14.0,15.9499998092651,111.0,1.0,0.18,0.03611721593918047,10000000.0,311.709,555.0,124.0,1,1,1,1.925,0.0,15.0,0.5717344753747323,0.8945646246137066,0.0504453735684421,0.006998727504090165,0.008998363933830213,0.011270678058534812
70,BBW,BUILD A BEAR WORKSHOP INC,5945,20.0,25.0499992370605,77.0,1.0,0.46,0.010983105662161895,7482000.0,213.672,365.0,95.0,0,1,1,2.613157177225341,17.647058823529413,17.0,0.601123595505618,0.8959176972748166,0.039947466345627666,0.00536281055050892,0.005691145890335997,0.010397285761190762
71,BCOV,BRIGHTCOVE INC,7372,11.0,14.3000001907349,177.0,1.0,-4.75,0.05152653250039664,5000000.0,60.169,943.0,191.0,0,1,0,5.2750074,0.0,11.0,0.6365105008077544,0.9132720899311012,0.05699262661670494,0.0028405656956364076,0.007433820863048471,0.011543575486522422
72,BDAY,"CELEBRATE EXPRESS, INC",5961,15.5,16.7000007629395,96.0,0.0,-0.34,0.018065909915302072,3200000.0,37.811,270.0,97.0,0,1,0,2.1838725,10.714285714285714,14.0,0.6577181208053692,0.8882588853547227,0.03733923385423869,0.004148803761582077,0.006638086018531324,0.01341446549578205
73,BDE,"Bois d Arc Energy, Inc. ",1311,13.0,12.65,214.0,0.0,0.63,0.03228429921272611,13500000.0,143.062,469.0,98.0,1,0,1,4.751481481481481,0.0,13.5,0.6526946107784432,0.9062289183719361,0.05273217899707668,0.003710366539239937,0.012030582415111311,0.011018664268045873
74,BEAT,"CardioNet, Inc. ",8090,18.0,17.7000007629395,215.0,1.0,2.89,-0.03834154622795221,4500000.0,72.992,576.0,146.0,1,0,1,5.120858222222222,0.0,19.0,0.5156576200417536,0.8939530685920578,0.05198555956678701,0.00351985559566787,0.0101985559566787,0.013176895306859206
75,BECN,BEACON ROOFING SUPPLY INC,5033,13.0,10.6599998474121,118.0,1.0,0.18,0.019835982850230017,13500000.0,559.54,422.0,94.0,0,0,1,1.9525279259259258,0.0,13.0,0.5601023017902813,0.898093919710361,0.04493664146523267,0.006069641145777872,0.008518794590565435,0.010009583643914386
76,BFAM,BRIGHT HORIZONS FAMILY SOLUTIONS INC. ,8351,22.0,28.3199996948242,93.0,1.0,0.13,0.010500794785178772,10100000.0,1070.938,742.0,250.0,0,1,1,6.224863267326732,10.0,20.0,0.7516059957173448,0.8451100244498777,0.04535452322738386,0.003728606356968215,0.004706601466992665,0.015281173594132029
77,BFRM,BIOFORM MEDICAL INC,3841,8.0,8.550000190734862,79.0,1.0,-0.26,0.0111853044880828,10000000.0,22.65,458.0,122.0,1,1,0,4.459623,0.0,10.0,0.528395061728395,0.9212598425196851,0.05079294665631585,0.0064322945547299545,0.011090163025396473,0.013529998890983698
78,BHRT,"U.S. Stem Cell, Inc.",8731,5.25,5.0,371.0,0.0,-0.7,-0.016128119258393494,1100000.0,500.4599622950817,515.0,100.0,1,0,0,13.133761818181819,0.0,15.0,0.6470588235294118,0.9094988147646461,0.04359972908906197,0.004232983406705046,0.0077886894683372844,0.008465966813410091
79,BIOD,"ALBIREO PHARMA, INC.",2834,15.0,72.0,93.0,1.0,-1.68,0.003353816539135266,5000000.0,500.4599622950817,616.0,143.0,0,1,0,3.8821672,0.0,15.0,0.6112852664576802,0.916374082349186,0.0655388871156506,0.00744760080859666,0.007873177997659325,0.015214384508990318
80,BIOF,"Green Brick Partners, Inc.",2869,10.5,86.9935302734375,188.0,1.0,-0.03,0.0033405857511660856,5250000.0,500.4599622950817,341.0,119.0,1,1,0,6.190476190476191,0.0,13.5,0.668,0.9393404004711425,0.050206124852767965,0.005153121319199058,0.007361601884570083,0.017520612485276796
81,BKC,Burger King Holdings Inc,5812,17.0,17.5,91.0,1.0,0.44,-0.057978474493747614,25000000.0,1.94,1215.0,148.0,0,1,1,5.3219536,6.25,16.0,0.7421487603305785,0.8841143883814943,0.06063782003293906,0.010879872236362729,0.01252682537305984,0.007386335279732495
82,BKRS,BAKERS FOOTWEAR GROUP INC,5661,7.75,8.29,660.0,0.0,0.9,-0.04570137324679128,2160000.0,148.224,305.0,89.0,0,1,1,2.3367930555555554,3.3333333333333335,7.5,0.5035714285714286,0.8838780641106222,0.04792583280955374,0.004714016341923318,0.010370835952231301,0.013984915147705845
83,BLMN,"Bloomin' Brands, Inc. ",5812,11.0,12.4099998474121,124.0,1.0,0.84,0.02181132592841911,16000000.0,3841.264,1358.0,284.0,1,1,1,7.4941354375,0.0,14.0,0.7489597780859917,0.8530201342281879,0.05063385533184191,0.00488441461595824,0.010328113348247576,0.010589112602535422
84,BLOG,"BladeLogic, Inc",7372,17.0,25.0699996948242,111.0,1.0,-0.28,-0.002117746190072883,5000000.0,24.568,772.0,142.0,0,1,0,5.181002,3.0303030303030303,16.5,0.585278276481149,0.9061572968670863,0.05585702915852688,0.003907097894508357,0.0057159395123363,0.010274220389262716
85,BLSW,"Bridgeline Digital, Inc.",7372,5.0,25.0,198.0,0.0,-0.36,0.009750672113699626,3000000.0,8.235,774.0,148.0,1,1,0,2.42575,0.0,5.5,0.6163793103448276,0.9181532807595131,0.059260393538013934,0.004211009876732256,0.009800168440395069,0.0113314447592068
86,BLT,BLOUNT INTERNATIONAL INC,,13.837666174298375,25.934766149358612,149.72878787878787,0.8590909090909091,1.7889040247678043,0.007282201411438542,12415194.22928994,500.4599622950817,631.0,116.0,1,1,1,3.975593005885456,0.0,14.49811755952381,0.5594795539033457,0.873861137291863,0.04956016336789192,0.007382972038956959,0.013509267986176562,0.009110901665095822
87,BMTI,"BIOMIMETIC THERAPEUTICS, INC. ",3841,8.0,8.25,91.0,1.0,-0.77,-0.02372061747056409,4600000.0,4.5169999999999995,519.0,89.0,1,1,0,3.3842108695652175,0.0,12.0,0.46335078534031415,0.9135122184954481,0.062170579779587926,0.005749880210828941,0.010541447053186392,0.010661236224245328
