,pIPO,pH,pL,p1day,Pmid,Y1,Y2
80,10.5,14.0,13.0,86.9935302734375,13.5,1,1
81,17.0,17.0,15.0,17.5,16.0,0,1
82,7.75,8.0,7.0,8.29,7.5,0,1
83,11.0,15.0,13.0,12.4099998474121,14.0,1,1
84,17.0,17.0,16.0,25.0699996948242,16.5,0,1
85,5.0,6.0,5.0,25.0,5.5,1,1
86,,,,,,0,0
87,8.0,13.0,11.0,8.25,12.0,1,1
88,19.0,18.0,16.0,35.9199981689453,17.0,0,1
89,13.0,16.0,14.0,13.0,15.0,1,0
90,10.0,18.0,16.0,11.0,17.0,1,1
91,10.5,16.0,14.0,11.1000003814697,15.0,1,1
92,17.0,16.0,14.0,18.4699993133545,15.0,0,1
93,9.0,11.0,9.0,8.30000019073486,10.0,1,0
94,15.0,16.0,14.0,14.6,15.0,0,0
95,9.5,10.0,8.0,10.7,9.0,0,1
96,12.0,10.0,8.0,16.5100002288818,9.0,0,1
97,17.0,16.0,14.0,11.4750003814697,15.0,0,0
98,12.0,12.0,10.0,16.65,11.0,0,1
99,15.0,18.0,16.0,14.6000003814697,17.0,1,0
100,20.0,17.0,15.0,26.0,16.0,0,1
101,5.5,6.0,5.0,6.09000015258789,5.5,0,1
102,9.0,15.0,11.0,9.39999961853027,13.0,1,1
103,14.0,14.0,12.0,17.3700008392334,13.0,0,1
104,10.0,11.0,9.0,9.55,10.0,0,0
105,13.0,13.0,11.0,15.1000003814697,12.0,0,1
106,15.0,16.0,14.0,15.0,15.0,0,0
107,10.0,17.0,15.0,12.3500003814697,16.0,1,1
108,10.0,16.0,14.0,9.5,15.0,1,0
109,12.0,14.0,13.0,12.0,13.5,1,0
110,14.0,15.0,13.0,13.0,14.0,0,0
111,18.0,22.0,20.0,18.5499992370605,21.0,1,1
112,19.0,19.0,17.0,20.65,18.0,0,1
113,5.25,7.0,6.0,5.3,6.5,1,1
114,16.0,21.0,19.0,16.0,20.0,1,0
115,4.5,6.5,5.5,,6.0,1,0
116,6.0,13.0,11.0,6.05999994277954,12.0,1,1
117,15.0,15.0,13.0,17.3500003814697,14.0,0,1
118,13.0,17.0,16.0,118.400001525879,16.5,1,1
119,16.0,17.0,15.0,3.24000024795532,16.0,0,0
120,18.0,17.0,15.0,21.0,16.0,0,1
121,16.0,16.0,14.0,85.6,15.0,0,1
122,15.0,16.0,14.0,17.5,15.0,0,1
123,3.0,5.0,4.0,,4.5,1,0
124,17.0,17.0,15.0,21.0,16.0,0,1
125,15.0,18.0,16.0,14.8400001525879,17.0,1,0
126,13.0,17.0,15.0,11.8999996185303,16.0,1,0
127,13.0,18.0,16.0,13.25,17.0,1,1
128,25.0,25.0,23.0,23.09397,24.0,0,0
129,13.5,12.0,10.0,24.0,11.0,0,1
130,13.0,15.0,13.0,13.75,14.0,1,1
131,13.0,16.0,14.0,13.789999961853,15.0,1,1
132,9.0,12.0,10.0,10.2399997711182,11.0,1,1
133,12.0,14.0,12.0,36.0000038146973,13.0,1,1
134,12.0,12.0,10.0,17.98,11.0,0,1
135,16.0,16.0,14.0,18.8799991607666,15.0,0,1
136,18.0,17.0,15.0,22.3099994659424,16.0,0,1
137,14.0,14.0,12.0,13.117847442627,13.0,0,0
138,13.0,13.0,11.0,13.2600002288818,12.0,0,1
139,12.0,17.0,15.0,12.2299995422363,16.0,1,1
140,18.0,18.0,16.0,18.0,17.0,0,0
141,17.0,16.0,14.0,16.8299999237061,15.0,0,0
142,24.0,24.0,22.0,26.8999996185303,23.0,0,1
143,10.0,12.0,10.0,10.35,11.0,1,1
144,16.0,20.0,18.0,15.75,19.0,1,0
145,19.0,19.0,17.0,12.3249998092651,18.0,0,0
146,13.0,16.0,13.0,129.99997,14.5,1,1
147,21.0,20.0,19.0,14.2749996185303,19.5,0,0
148,19.0,21.0,19.0,18.55,20.0,1,0
149,11.0,13.0,11.0,10.87,12.0,1,0
150,14.0,13.0,11.0,13.75,12.0,0,0
151,15.0,15.0,13.0,15.6300001144409,14.0,0,1
152,11.0,16.0,14.0,11.1099996566772,15.0,1,1
153,16.0,14.0,12.0,27.6399993896484,13.0,0,1
154,13.0,14.0,12.0,13.0,13.0,0,0
155,14.0,14.0,12.0,15.6999998092651,13.0,0,1
156,13.0,17.0,15.0,13.1000003814697,16.0,1,1
157,19.0,20.0,18.0,20.25,19.0,0,1
158,11.5,16.0,14.0,12.8999996185303,15.0,1,1
159,15.0,14.0,12.0,18.9300003051758,13.0,0,1
160,13.0,13.0,11.0,96.6000289916992,12.0,0,1
161,9.0,10.0,8.0,15.3900003433228,9.0,0,1
162,11.0,11.0,9.0,12.6599998474121,10.0,0,1
163,6.1,9.0,6.0,6.17000007629395,7.5,1,1
164,15.0,17.0,15.0,14.9399995803833,16.0,1,0
165,8.5,12.0,10.0,7.15,11.0,1,0
166,15.0,13.5,11.5,24.9500007629395,12.5,0,1
167,15.0,16.0,14.0,17.54,15.0,0,1
168,16.0,17.0,15.0,14.0,16.0,0,0
169,19.0,26.0,23.0,19.5,24.5,1,1
170,21.0,23.0,21.0,22.7299995422363,22.0,1,1
171,13.0,13.0,11.0,13.3999996185303,12.0,0,1
172,16.0,14.0,12.0,18.7,13.0,0,1
173,16.0,16.0,14.0,16.25,15.0,0,1
174,18.0,18.0,16.0,24.2999992370605,17.0,0,1
175,14.5,15.5,13.5,17.72,14.5,0,1
176,11.0,12.0,10.0,9.34000015258789,11.0,0,0
177,17.0,16.0,14.0,45.03721,15.0,0,1
178,7.0,12.0,10.0,6.25,11.0,1,0
179,17.0,16.0,14.0,21.0499992370605,15.0,0,1
180,19.0,18.0,16.0,27.8500003814697,17.0,0,1
181,12.5,15.0,13.0,12.2799997329712,14.0,1,0
182,14.0,17.0,15.0,13.5,16.0,1,0
183,21.0,21.0,19.0,22.7999992370605,20.0,0,1
184,9.0,13.0,11.0,9.03999996185303,12.0,1,1
185,12.0,15.0,13.0,11.5,14.0,1,0
186,19.0,17.0,15.0,1.78999996185303,16.0,0,0
187,17.0,16.0,14.0,24.9200000762939,15.0,0,1
188,7.5,14.0,12.0,93.9999771118164,13.0,1,1
189,15.0,17.0,15.0,15.0,16.0,1,0
190,13.0,16.0,14.0,12.35,15.0,1,0
191,28.0,25.0,23.0,38.75,24.0,0,1
192,16.0,14.5,12.5,23.5900001525879,13.5,0,1
193,12.0,12.0,10.0,16.4300003051758,11.0,0,1
194,12.0,14.0,12.0,11.7399997711182,13.0,1,0
195,8.5,10.5,8.5,7.77,9.5,1,0
196,12.5,16.0,14.0,11.6999998092651,15.0,1,0
197,14.0,15.0,13.0,14.0600004196167,14.0,0,1
198,6.0,15.0,13.0,7.73000001907349,14.0,1,1
199,11.0,16.0,14.0,9.5,15.0,1,0
200,18.0,20.0,18.0,21.7700004577637,19.0,1,1
201,11.0,16.0,14.0,11.9899997711182,15.0,1,1
202,15.5,16.0,14.0,15.5,15.0,0,0
203,4.0,6.0,4.0,,5.0,1,0
204,11.5,11.5,9.5,12.8900003433228,10.5,0,1
205,15.5,15.5,13.5,16.52,14.5,0,1
206,13.0,15.0,13.0,14.95,14.0,1,1
207,6.0,7.0,6.0,7.34000015258789,6.5,1,1
208,16.0,22.0,20.0,4.7480993270874,21.0,1,0
209,14.0,16.0,14.0,17.1800003051758,15.0,1,1
210,6.0,8.0,6.0,7.40000009536743,7.0,1,1
211,9.0,10.0,9.0,10.2299995422363,9.5,1,1
212,12.0,18.0,16.0,14.0,17.0,1,1
213,16.0,15.0,13.0,21.9599990844727,14.0,0,1
214,8.5,9.0,7.0,9.82999992370605,8.0,0,1
215,7.0,,,,,0,0
216,8.0,9.0,8.0,48.0000114440918,8.5,1,1
217,16.0,19.0,17.0,,18.0,1,0
218,14.0,18.0,16.0,14.1499996185303,17.0,1,1
219,10.0,13.0,11.0,9.80000019073486,12.0,1,0
220,16.0,18.0,16.0,16.7999992370605,17.0,1,1
221,13.5,12.0,10.0,18.8400001525879,11.0,0,1
222,17.0,20.0,18.0,16.75,19.0,1,0
223,21.0,20.0,18.0,32.4000015258789,19.0,0,1
224,17.0,17.0,15.0,19.7199993133545,16.0,0,1
225,17.5,19.0,17.0,17.5,18.0,1,0
226,38.0,38.0,34.0,38.2318000793457,36.0,0,1
227,22.0,19.0,17.0,12.75,18.0,0,0
228,10.0,12.0,10.0,7.85,11.0,1,0
229,19.0,18.0,16.0,22.5,17.0,0,1
230,15.0,14.0,12.0,15.4899997711182,13.0,0,1
231,17.0,17.0,15.0,26.5,16.0,0,1
232,23.0,26.0,23.0,27.25,24.5,1,1
233,17.0,17.0,15.0,22.2999992370605,16.0,0,1
234,10.0,14.0,12.0,10.75,13.0,1,1
235,9.0,13.0,11.0,9.05000019073486,12.0,1,1
236,15.0,16.0,14.0,14.4300003051758,15.0,0,0
237,14.0,14.0,12.0,20.4500007629395,13.0,0,1
238,17.0,16.0,14.0,27.6499996185303,15.0,0,1
239,18.5,20.0,18.0,18.05,19.0,1,0
240,18.0,24.0,22.0,18.3299999237061,23.0,1,1
241,20.0,19.0,17.0,24.7399997711182,18.0,0,1
242,12.0,14.0,12.0,12.0,13.0,1,0
243,13.0,14.0,12.0,13.6,13.0,0,1
244,12.5,11.0,9.0,8.3100004196167,10.0,0,0
245,9.0,9.0,7.0,10.4700002670288,8.0,0,1
246,14.0,18.0,16.0,16.75,17.0,1,1
247,14.5,16.0,14.0,13.8000001907349,15.0,1,0
248,15.0,15.0,13.0,246.600250244141,14.0,0,1
249,18.0,18.0,16.0,20.05,17.0,0,1
250,12.0,17.0,15.0,12.0,16.0,1,0
251,14.0,13.0,11.0,18.6100006103516,12.0,0,1
252,12.0,14.0,12.0,11.75,13.0,1,0
253,11.0,16.0,14.0,11.3999996185303,15.0,1,1
254,14.0,18.0,16.0,12.4099998474121,17.0,1,0
255,11.5,12.0,10.0,12.289999961853,11.0,0,1
256,11.0,15.0,13.0,11.0299997329712,14.0,1,1
257,12.0,13.0,12.0,13.5,12.5,1,1
258,10.0,15.0,13.0,4.54957389831543,14.0,1,0
259,16.0,16.0,14.0,22.02,15.0,0,1
260,6.0,7.0,6.0,5.40000009536743,6.5,1,0
261,9.0,14.0,12.0,8.02999973297119,13.0,1,0
262,13.0,17.0,15.0,12.8400001525879,16.0,1,0
263,11.5,16.0,14.0,11.1,15.0,1,0
264,85.0,135.0,108.0,50.24538,121.5,1,0
265,20.0,18.0,16.0,26.1100006103516,17.0,0,1
266,17.0,18.0,16.0,0.0,17.0,0,0
267,9.0,11.0,8.0,11.5,9.5,1,1
268,18.0,,,,,0,0
269,13.0,16.0,14.0,13.0799999237061,15.0,1,1
270,9.0,13.0,9.0,10.0,11.0,1,1
271,14.5,15.0,13.0,12.8999996185303,14.0,0,0
272,11.5,14.5,12.5,15.1800003051758,13.5,1,1
273,10.0,13.0,11.0,13.0,12.0,1,1
274,17.0,16.0,14.0,25.3500003814697,15.0,0,1
275,30.0,30.0,27.0,31.0200004577637,28.5,0,1
276,11.5,12.5,10.5,14.1899995803833,11.5,0,1
277,18.0,17.0,15.0,23.1000003814697,16.0,0,1
278,5.5,8.0,6.0,5.51999998092651,7.0,1,1
279,20.0,20.0,18.0,0.0,19.0,0,0
280,13.0,17.0,15.0,14.5500001907349,16.0,1,1
281,15.0,17.0,15.0,14.7299995422363,16.0,1,0
282,17.0,16.0,14.0,19.4500007629395,15.0,0,1
283,21.0,18.0,16.0,23.6,17.0,0,1
284,12.0,13.0,11.0,121.999969482422,12.0,0,1
285,12.0,13.0,12.0,12.0,12.5,1,0
286,3.25,4.0,3.0,,3.5,1,0
287,10.0,13.0,11.0,10.1099996566772,12.0,1,1
288,18.0,16.0,14.0,24.5100002288818,15.0,0,1
289,10.0,17.0,15.0,10.75,16.0,1,1
290,19.5,18.0,16.0,21.98,17.0,0,1
291,15.0,18.0,16.0,15.7200002670288,17.0,1,1
292,23.0,23.0,21.0,24.5,22.0,0,1
293,15.0,16.0,14.0,18.9,15.0,0,1
294,15.0,17.0,15.0,17.2999992370605,16.0,1,1
295,12.0,16.0,14.0,12.25,15.0,1,1
296,15.0,15.0,13.0,19.3999996185303,14.0,0,1
297,16.0,19.0,17.0,12.8500003814697,18.0,1,0
298,6.0,6.5,5.5,2.925,6.0,0,0
299,12.0,12.0,10.0,129.999969482422,11.0,0,1
300,13.0,16.0,14.0,13.0,15.0,1,0
301,13.0,13.0,11.0,16.25,12.0,0,1
302,10.0,14.0,12.0,9.5,13.0,1,0
303,8.0,11.0,9.0,9.5,10.0,1,1
304,8.0,10.0,8.0,7.65,9.0,1,0
305,8.0,12.0,10.0,8.0,11.0,1,0
306,7.0,12.0,10.0,7.21999979019165,11.0,1,1
307,19.0,17.0,15.0,24.0,16.0,0,1
308,7.5,8.5,7.0,8.89999961853027,7.75,1,1
309,9.0,9.0,8.0,10.4499998092651,8.5,0,1
310,7.0,9.0,7.0,6.80000019073486,8.0,1,0
311,14.0,11.0,9.0,18.6700000762939,10.0,0,1
312,16.0,17.0,15.0,20.4799995422363,16.0,0,1
313,8.0,12.0,10.0,7.67000007629395,11.0,1,0
314,16.5,15.5,13.5,25.6000003814697,14.5,0,1
315,12.0,12.0,10.0,15.3000001907349,11.0,0,1
316,12.0,13.0,12.0,12.0699996948242,12.5,1,1
317,32.0,29.0,27.0,50.4000015258789,28.0,0,1
318,16.0,16.0,14.0,21.0200004577637,15.0,0,1
319,11.25,16.0,14.0,11.6499996185303,15.0,1,1
320,13.0,12.0,11.0,23.1000003814697,11.5,0,1
321,23.0,21.0,19.0,8.80000019073486,20.0,0,0
322,6.0,11.0,9.0,6.75,10.0,1,1
323,14.0,13.0,11.0,18.69,12.0,0,1
324,19.0,20.0,18.0,20.7999992370605,19.0,0,1
325,10.0,13.0,11.0,9.0,12.0,1,0
326,12.0,17.0,15.0,12.0299997329712,16.0,1,1
327,13.0,15.0,13.0,15.1999998092651,14.0,1,1
328,30.0,29.0,27.0,40.4000015258789,28.0,0,1
329,10.0,12.0,10.0,11.3800001144409,11.0,1,1
330,,,,,,0,0
331,15.0,21.0,19.0,15.0,20.0,1,0
332,8.0,0.0,8.0,7.92999982833862,4.0,0,0
333,9.0,14.0,12.0,9.38000011444092,13.0,1,1
334,7.0,10.0,8.0,10.3000001907349,9.0,1,1
335,12.0,16.0,14.0,12.0500001907349,15.0,1,1
336,11.0,11.0,10.0,12.6999998092651,10.5,0,1
337,20.0,19.0,17.0,24.2000007629395,18.0,0,1
338,13.5,18.0,16.0,13.5100002288818,17.0,1,1
339,14.0,14.0,12.0,13.1000003814697,13.0,0,0
340,9.0,11.0,9.0,103.999969482422,10.0,1,1
341,14.0,14.0,12.0,17.1000003814697,13.0,0,1
342,11.0,11.5,9.5,13.3000001907349,10.5,0,1
343,13.5,15.5,13.5,13.5299997329712,14.5,1,1
344,20.0,21.0,19.0,20.1700000762939,20.0,0,1
345,15.0,14.0,12.0,22.1800003051758,13.0,0,1
346,7.0,10.0,8.0,6.19999980926514,9.0,1,0
347,45.0,45.0,42.0,94.25,43.5,0,1
348,9.0,11.5,9.5,8.35999965667725,10.5,1,0
349,16.0,16.0,14.0,20.0200004577637,15.0,0,1
350,17.0,20.0,18.0,18.1000003814697,19.0,1,1
351,13.0,20.0,18.0,12.54,19.0,1,0
352,10.0,11.0,9.0,12.289999961853,10.0,0,1
353,18.5,19.0,17.0,21.0,18.0,0,1
354,18.0,17.0,15.0,14.99,16.0,0,0
355,6.0,8.0,6.0,6.0,7.0,1,0
356,29.0,26.0,24.0,46.560001373291,25.0,0,1
357,4.0,6.0,5.0,,5.5,1,0
358,39.0,43.0,40.0,4.59999990463257,41.5,1,0
359,7.0,10.0,8.0,6.03999996185303,9.0,1,0
360,10.0,11.0,10.0,9.18000030517578,10.5,1,0
361,14.0,20.0,16.0,14.0,18.0,1,0
362,12.0,16.0,14.0,13.3500003814697,15.0,1,1
363,17.0,18.0,16.0,20.8999996185303,17.0,0,1
364,6.0,8.0,6.0,0.0,7.0,1,0
365,14.0,14.0,12.0,93.1200256347656,13.0,0,1
366,7.0,13.0,11.0,6.66,12.0,1,0
367,14.0,17.0,15.0,12.85,16.0,1,0
368,16.0,16.0,14.0,20.5,15.0,0,1
369,11.5,16.0,14.0,11.0,15.0,1,0
370,14.0,13.0,11.0,8.5,12.0,0,0
371,10.0,13.5,11.5,10.0,12.5,1,0
372,8.0,12.0,10.0,9.05,11.0,1,1
373,5.0,6.5,5.5,77.09998,6.0,1,1
374,10.0,13.0,11.0,10.25,12.0,1,1
375,11.0,14.0,12.0,11.0100002288818,13.0,1,1
376,10.0,14.0,12.0,10.039999961853,13.0,1,1
377,12.5,16.0,14.0,12.5799999237061,15.0,1,1
378,20.0,21.0,19.0,19.8899993896484,20.0,0,0
379,14.0,16.0,14.0,14.09,15.0,1,1
380,24.0,24.0,21.0,26.4300003051758,22.5,0,1
381,12.0,10.0,8.5,15.3999996185303,9.25,0,1
382,17.0,16.0,14.0,20.0,15.0,0,1
383,13.0,11.0,9.0,25.0,10.0,0,1
384,14.0,15.0,13.0,14.0799999237061,14.0,0,1
385,6.5,9.0,7.0,7.80999994277954,8.0,1,1
386,17.5,18.0,16.0,13.3333330154419,17.0,0,0
387,10.0,11.0,10.0,84.02591,10.5,1,1
388,10.0,13.0,11.0,10.1499996185303,12.0,1,1
389,13.0,18.0,16.0,149.99997,17.0,1,1
390,8.5,9.0,7.0,9.84000015258789,8.0,0,1
391,21.0,23.0,21.0,21.0400009155273,22.0,1,1
392,14.0,13.0,11.0,16.2600002288818,12.0,0,1
393,17.0,16.0,14.0,17.9,15.0,0,1
394,12.0,16.0,14.0,11.75,15.0,1,0
395,19.0,19.0,17.0,20.5499992370605,18.0,0,1
396,21.0,20.0,18.0,19.2,19.0,0,0
397,14.0,13.0,11.0,18.7000007629395,12.0,0,1
398,14.0,16.0,14.0,14.8999996185303,15.0,1,1
399,26.0,16.0,13.0,35.5,14.5,0,1
400,,,,,,0,0
401,4.0,6.0,4.0,,5.0,1,0
402,10.5,12.0,10.0,12.17,11.0,1,1
403,21.0,20.0,18.0,25.6700000762939,19.0,0,1
404,12.0,14.0,12.0,5.75500011444092,13.0,1,0
405,14.0,16.0,14.0,17.1,15.0,1,1
406,11.0,15.0,13.0,10.25,14.0,1,0
407,15.0,15.0,13.0,17.8600006103516,14.0,0,1
408,16.0,14.0,12.0,20.6499996185303,13.0,0,1
409,20.5,19.5,17.5,28.3999996185303,18.5,0,1
410,3.5,4.0,3.25,,3.625,1,0
411,15.0,19.0,17.0,16.2000007629395,18.0,1,1
412,23.0,22.0,20.0,25.0,21.0,0,1
413,8.0,9.0,8.0,61.60003,8.5,1,1
414,18.0,17.0,15.0,24.6000003814697,16.0,0,1
415,11.0,11.0,9.0,13.25,10.0,0,1
416,12.0,3.0,11.0,11.4899997711182,7.0,0,0
417,16.5,20.0,18.0,16.58,19.0,1,1
418,14.0,16.0,14.0,319.999938964844,15.0,1,1
419,22.0,20.0,18.0,26.0,19.0,0,1
420,12.0,14.0,12.0,12.6000003814697,13.0,1,1
421,15.0,14.0,12.0,16.6000003814697,13.0,0,1
422,14.0,12.0,10.0,17.6900005340576,11.0,0,1
423,8.0,12.0,10.0,1159.20056152344,11.0,1,1
424,22.0,22.5,20.5,25.2999992370605,21.5,0,1
425,14.0,21.0,18.0,14.0,19.5,1,0
426,14.0,16.0,14.0,13.25,15.0,1,0
427,10.0,12.0,11.0,11.7600002288818,11.5,1,1
428,12.0,11.0,9.0,17.39,10.0,0,1
429,14.0,15.0,13.0,14.8800001144409,14.0,0,1
430,8.0,10.0,8.0,54.6,9.0,1,1
431,19.0,21.0,19.0,1158.59973144531,20.0,1,1
432,9.0,10.0,9.0,8.75,9.5,1,0
433,13.0,14.0,12.0,21.4099998474121,13.0,0,1
434,12.0,15.0,13.0,8.09000015258789,14.0,1,0
435,10.0,12.0,10.0,8.72999954223633,11.0,1,0
436,11.0,15.0,13.0,10.1000003814697,14.0,1,0
437,10.0,17.0,15.0,10.0299997329712,16.0,1,1
438,12.0,17.0,15.0,14.2700004577637,16.0,1,1
439,17.5,15.5,13.5,19.6000003814697,14.5,0,1
440,7.0,9.0,8.0,8.5,8.5,1,1
441,20.0,22.0,20.0,178.399963378906,21.0,1,1
442,15.0,15.0,13.0,17.3999996185303,14.0,0,1
443,15.0,17.0,15.0,15.6700000762939,16.0,1,1
444,11.0,14.0,12.0,7.75,13.0,1,0
445,12.0,13.0,11.0,13.0,12.0,0,1
446,11.0,13.0,11.0,11.0,12.0,1,0
447,19.0,19.0,17.0,22.1599998474121,18.0,0,1
448,15.0,18.0,16.0,14.5,17.0,1,0
449,16.0,9.0,7.0,17.4200000762939,8.0,0,1
450,18.0,21.0,19.0,17.3500003814697,20.0,1,0
451,42.0,40.0,38.0,53.1300010681152,39.0,0,1
452,14.0,13.0,11.0,4.57999992370605,12.0,0,0
453,10.0,14.0,12.0,10.75,13.0,1,1
454,16.0,16.0,14.0,17.75,15.0,0,1
455,7.0,16.0,14.0,7.01999998092651,15.0,1,1
456,23.0,21.0,19.0,54.7999992370605,20.0,0,1
457,14.0,16.0,14.0,14.36,15.0,1,1
458,9.0,14.0,12.0,10.6000003814697,13.0,1,1
459,7.5,10.0,8.0,9.35000038146973,9.0,1,1
460,14.0,18.0,16.0,15.5,17.0,1,1
461,14.0,16.0,14.0,14.0,15.0,1,0
462,9.0,12.0,10.0,8.59000015258789,11.0,1,0
463,11.25,11.75,11.25,11.289999961853,11.5,1,1
464,17.0,17.0,15.0,18.4400005340576,16.0,0,1
465,11.0,14.0,12.0,11.789999961853,13.0,1,1
466,15.0,16.0,14.0,15.960000038147,15.0,0,1
467,19.0,22.0,20.0,18.0300006866455,21.0,1,0
468,19.0,18.0,16.0,21.0,17.0,0,1
469,16.0,9.11,9.11,144.99997,9.11,0,1
470,16.0,15.0,13.0,29.0,14.0,0,1
471,12.0,13.0,11.0,12.9499998092651,12.0,0,1
472,18.0,19.0,17.0,17.9500007629395,18.0,0,0
473,15.75,12.0,10.0,14.0,11.0,0,0
474,19.0,18.0,16.0,19.0300006866455,17.0,0,1
475,10.0,12.0,10.0,11.8999996185303,11.0,1,1
476,15.0,16.0,14.0,13.0,15.0,0,0
477,14.0,16.0,14.0,14.710000038147,15.0,1,1
478,7.0,12.0,10.0,6.5,11.0,1,0
479,11.0,12.0,10.0,25.6250019073486,11.0,0,1
480,15.0,15.0,13.0,18.0,14.0,0,1
481,10.0,9.5,8.5,12.8000001907349,9.0,0,1
482,17.0,17.0,15.0,18.7509994506836,16.0,0,1
483,12.0,13.0,11.0,14.1599998474121,12.0,0,1
484,15.0,19.0,17.0,15.0,18.0,1,0
485,12.0,13.0,11.0,11.31,12.0,0,0
486,15.0,18.0,16.0,13.75,17.0,1,0
487,12.0,13.0,11.0,12.2,12.0,0,1
488,19.0,18.0,16.0,21.0300006866455,17.0,0,1
489,14.0,14.0,12.0,17.5,13.0,0,1
490,3.5,,,,,0,0
491,10.0,16.0,14.0,100.999977111816,15.0,1,1
492,14.0,16.0,12.0,14.55,14.0,0,1
493,10.0,15.0,13.0,10.1000003814697,14.0,1,1
494,8.0,11.0,9.0,8.1899995803833,10.0,1,1
