,I1,I2,I3,pIPO,pH,pL,p1day,Pmid,Y1,Y2,C6p,C1,C3,C4,C5,C6,C7,T1,T2,T3,T4,T5,S1,S2,S3,C5p,LongSentences,RealWords,LongWords,PositiveWords,NegativeWords,UncertainWords,C2,C3p
10,ADKU,"ADCARE HEALTH SYSTEMS, INC",-,,,,,,0,0,0.0,0.5717802061536076,0.8451674119940379,0.5042232267103278,0.7059017389971708,0.7320615657045416,0.6487786945964816,0.2785515320334262,0.3062701629580611,0.3049250341780876,0.2962633451957295,0.45170594104264333,0.598076596088944,0.44733787328351576,0.4325904563487001,0.5733371847147354,0.35041063287390123,0.4266512273622968,0.3980500964499097,0.4518508516494855,0.3924233746273322,0.36593491722679194,,0
11,ADLS,"Advanced Life Sciences Holdings, Inc.",2854,5.0,9.0,8.0,6.0,8.5,1,1,0.0,0.3641943734015345,0.0,0.551736751986992,0.39271794195024257,0.5402229352017436,0.01438505657559031,0.16852367688022285,0.23405575316403346,0.2350096602528613,0.24110320284697506,0.5461947124398112,0.4542717850430032,0.3055899442190173,0.4141738294649303,0.5258159177265966,0.3757378880996089,0.4268788328438552,0.44311570795973304,0.43008978227145217,0.3750065139378961,0.39080557854581277,1.0,1
12,ADZA,ADEZA BIOMEDICAL CORP,2835,16.0,16.0,14.0,19.7000007629395,15.0,0,1,6.666666666666668,0.4746803069053708,0.563888888888889,0.5763130141984775,0.36481642595966046,0.3812571449732172,0.14909103124653958,0.10306406685236767,0.23173959798163624,0.22429864304518285,0.24644128113879002,0.44827086502266816,0.38901511552018314,0.31981095027107054,0.45883146774112354,0.5802147865811724,0.4724137166821518,0.4242597507845156,0.41550194595356443,0.40867915505977376,0.38012800060176416,0.4065436497883258,1.0,0
13,AFFY,AFFYMAX INC,2834,25.0,24.0,22.0,33.8800010681152,23.0,0,1,8.695652173913043,0.5319693094629155,0.10833333333333343,0.4254801746160571,0.340373928607934,0.3782901182025106,0.0,0.3955431754874652,0.4315079824633965,0.4444846170359406,0.4065836298932384,0.7495852716086524,0.7510382609930698,0.6601497295081244,0.6607928370444693,0.5703755937811049,0.3825769061930169,0.4294344194239903,0.44554378915341003,0.46122457122612065,0.41471094665058333,0.3994010690485656,1.0,1
14,AGAM,"AGA Medical Holdings, Inc. ",3845,14.5,16.0,15.0,14.6000003814697,15.5,1,1,0.0,0.9999999999999998,0.5472222222222223,0.5968335344505056,0.711044271120982,0.7720598573200144,0.37460250957510843,0.6852367688022284,0.765323848126396,0.7443930988509383,0.6717081850533807,0.8386379966938055,0.8252256785051689,1.0,0.7544539613038661,0.5638137697878841,0.4199128790436955,0.4257274768065064,0.42083366354387164,0.43351985004113985,0.42859161527583867,0.35782160336398006,1.0,0
15,AH,R1 RCM INC. ,7389,12.0,16.0,14.0,13.55,15.0,1,1,0.0,0.9125319693094628,0.5453703703703704,0.0,0.9705472850605957,0.653495710410978,0.6550573815581292,0.6323119777158774,0.7450161303664489,0.7132543188674342,0.7304270462633451,0.7087784710827693,0.8252256785051689,0.565842625292678,0.7091713309265872,0.6645247173345981,0.4865398364531489,0.42459182654586514,0.39967303263680154,0.4354204384781273,0.3436194972361083,0.3470624845616211,1.0,0
16,AHII,"ANIMAL HEALTH HOLDINGS, INC.",5047,11.0,12.0,10.0,12.45,11.0,0,1,0.0,0.4705882352941176,0.5712962962962964,0.4635288238297618,0.47457794349734084,0.7128717541115555,0.6931176286699514,0.1908077994428969,0.2616841756969146,0.2570192188188505,0.24466192170818504,0.5103507879589885,0.5044939914867764,0.24043688233249466,0.4714045207910317,0.5033161232987483,0.35834570858804604,0.4254796252237702,0.42538742835489823,0.43769361141503516,0.344408045729867,0.3976256037146262,1.0,0
17,AIMC,Altra Industrial Motion Corp. ,3568,13.5,16.0,14.0,14.289999961853,15.0,1,1,0.0,0.2741687979539642,0.5398148148148149,0.4254801746160571,0.4600367384869492,0.653495710410978,0.5528802855479453,0.3607242339832869,0.4629415170816445,0.43336685233936295,0.4350533807829181,0.6832384653269801,0.7086251569551052,0.712003022896444,0.6458745978139754,0.5153805314339075,0.4357269018230646,0.422701554487212,0.4270232924965752,0.4472349369527957,0.41964431775767685,0.38749344330250557,1.0,0
18,AIRV,AIRVANA INC,3661,7.0,10.0,8.0,7.17000007629395,9.0,1,1,0.0,0.33554987212276216,0.7324074074074074,0.6753351379370539,0.80696702909671,0.5919749516389444,0.3783717426541318,0.5515320334261838,0.5536851683348499,0.5618086705006383,0.5702846975088968,0.6363843379604743,0.6150869046386482,0.49455062673232364,0.5956306141057887,0.6455225563201149,0.42183793598850666,0.42855029411682416,0.4049240748415898,0.414482146618382,0.3524139912015845,0.34894370050558166,1.0,0
19,ALGT,Allegiant Travel CO ,4512,18.0,17.0,15.0,25.100000381469698,16.0,0,1,12.5,0.8061381074168796,0.6305555555555556,0.3885530643736826,0.4093051520730824,0.4491068215687809,0.3337572061363286,0.5292479108635098,0.4779138059392837,0.4604833515993085,0.4706405693950178,0.5764850736079337,0.6037999475092805,0.5078592986837877,0.5033997477580665,0.5687394449139248,0.35906778149692714,0.42476509284662345,0.4014066784095583,0.42184063094165586,0.369649783260798,0.33291734344132157,1.0,0
20,ALIM,ALIMERA SCIENCES INC ,2834,11.0,17.0,15.0,11.0,16.0,1,0,0.0,0.6710997442455242,0.24907407407407414,0.7241628354960254,0.5463809538845374,0.521112700043717,0.6487786945964816,0.4749303621169917,0.5654727438166929,0.564927067915532,0.5222419928825622,0.7709336620200401,0.6788792544572386,0.718221507975901,0.7798635358208024,0.5923989068268962,0.4316093082652897,0.42745663223176933,0.4301525083209493,0.4268244269664411,0.4039368018548465,0.4004152012479111,1.0,1
21,ALJ,"Alon USA Energy, Inc. ",2911,16.0,16.0,14.0,17.25,15.0,0,1,6.666666666666668,0.2782608695652174,0.6379629629629631,0.7749913549230045,0.6730077864451711,0.6603567458422653,1.0,0.6392757660167131,0.5867317395979816,0.5612211463500062,0.6236654804270462,0.7228150509731,0.6316392845022935,0.4854755323348758,0.4916456036721334,0.5850668280081996,0.4117888610099696,0.4243936405484287,0.41845965217191616,0.4142549401523574,0.34417529562669225,0.28380848300267303,1.0,0
22,ALLI,ALLION HEALTHCARE INC,8099,13.0,14.0,12.0,16.5,13.0,0,1,0.0,0.2373401534526854,0.3546296296296297,0.4767944423751247,0.2991627055850117,0.39575875973934627,0.23298694311905943,0.20473537604456826,0.2663578459756804,0.2661484402363655,0.26067615658362986,0.4886895799533881,0.4542717850430032,0.5697585379359063,0.5261208215879524,0.5422948835560546,0.3678066970649599,0.4267260925668627,0.41806537925456194,0.4212839539411998,0.43495106339971595,0.4125302207717351,1.0,1
23,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",2834,6.0,8.0,6.0,6.0100002288818395,7.0,1,1,0.0,0.3314578005115089,0.0,0.6695265315913712,0.41245755661980604,0.4491068215687809,0.009262838809984396,0.1615598885793872,0.2648688890727108,0.2701255267944908,0.26245551601423484,0.5454867475117483,0.6370611803817912,0.290674016902576,0.537121052781522,0.5700702826184578,0.41703673284431736,0.42817428700534926,0.43408783540713963,0.47248762794079374,0.35933994666022057,0.41629820056606137,1.0,1
24,ALTU,Altus Pharmaceuticals Inc. ,2836,15.0,16.0,14.0,16.82,15.0,0,1,0.0,0.3723785166240409,0.2564814814814816,0.4519420407487966,0.4345974468972509,0.5402229352017436,0.05658201541784197,0.18245125348189414,0.35040119116552243,0.3463228897149378,0.32295373665480426,0.6052614445743933,0.6635064104165087,0.3712874405838385,0.5110856845951085,0.5432401001915227,0.4829524264163415,0.4262854045722557,0.429306461100605,0.45775026189848417,0.3587072562509334,0.3777937780001079,1.0,1
25,ALXA,Alexza Pharmaceuticals Inc. ,2834,8.0,12.0,10.0,85.099983215332,11.0,1,1,0.0,0.270076726342711,0.0,0.4391334539918544,0.45477385626953415,0.4735323725092155,0.042586151914630166,0.17688022284122562,0.31851269749358924,0.317850565491995,0.27313167259786475,0.5923546003561021,0.5044939914867764,0.5376332131935762,0.6021404316396672,0.5771180094105921,0.4152827278551599,0.4268631119333256,0.4329446168452722,0.42408786014908034,0.412249795021786,0.4155524545214544,1.0,1
26,AMBA,AMBARELLA INC ,3674,6.0,11.0,9.0,6.05999994277954,10.0,1,1,0.0,0.9999999999999998,0.5842592592592593,0.24712215374157606,0.4923681762395462,0.49675837028559466,0.28218812919947106,0.5111420612813371,0.5544296467863348,0.5685426011501915,0.5951957295373665,0.7754318544604607,0.7955162397488899,0.5499001880224301,0.9069796501410494,0.5822620770769977,0.4660744491617124,0.42930692609808874,0.43239062723545685,0.4513500693792165,0.3672458784432802,0.43012142980161766,1.0,0
27,AMIS,AMIS HOLDINGS INC,3674,20.0,20.0,18.0,20.1000003814697,19.0,0,1,5.263157894736842,0.1227621483375959,0.4379629629629631,0.6112471293045486,0.862494995285558,1.0,0.5389017655594383,0.5501392757660167,0.6153114401522045,0.0,0.5898576512455516,0.7912183458896662,0.5685963468709402,0.8461402409724974,0.7414226880391382,0.5489039581484497,0.4371612969864374,0.0,0.4278895412741176,0.39703390751330536,0.4212644648355042,0.3812157836100444,1.0,1
28,AMRC,"Ameresco, Inc.",4931,10.0,16.0,14.0,10.1700000762939,15.0,1,1,0.0,0.4214833759590793,0.6064814814814815,0.6684531508834435,0.6329176788761159,0.6068935582969797,0.6003299903636388,0.7089136490250696,0.7591612209446604,0.7455229529867694,0.7713523131672597,0.833553894748093,0.9309801231400471,0.8002223148577026,0.7848467401079586,0.590196999805636,0.4694380077222404,0.4264053041013744,0.42054347652559865,0.45177721707459456,0.394859769956262,0.36763445155984126,1.0,0
29,ANAC,"Anacor Pharmaceuticals, Inc.",2834,5.0,18.0,16.0,5.09000015258789,17.0,1,1,0.0,0.26598465473145777,0.34166666666666673,0.3697044155750018,0.5001168938646025,0.7191665496002462,0.12497935495316724,0.3774373259052925,0.495078170237406,0.4988531980521314,0.4955516014234875,0.6961256070468874,0.8458080335269202,0.6038601047640301,0.7281582416970003,0.5110980449814142,0.481318600400421,0.427972275408888,0.42497191469005435,0.46922877059475865,0.390406712307443,0.40207077081792786,1.0,1
30,ANFI,Amira Nature Foods Ltd. ,2000,10.0,15.0,13.0,9.579999923706051,14.0,1,0,0.0,0.1309462915601023,0.5546296296296297,0.24712215374157606,0.5906647487474922,0.6180491099066171,0.46493835329700156,0.6211699164345404,0.6958391926544794,0.6858666546148892,0.6681494661921707,0.8275051401824078,0.7510382609930698,0.5458418285862237,0.7466624895455423,0.5729909119981413,0.4512116194926042,0.426622683283755,0.42560275847471646,0.4267609766221242,0.34480092053113953,0.36781416232243247,1.0,0
31,ANGI,"Angie's List, Inc. ",7379,13.0,13.0,11.0,16.2600002288818,12.0,0,1,8.333333333333332,0.3028132992327365,0.4231481481481482,0.26247009996409065,0.7525677566349703,0.610469655073598,0.2227107457537327,0.5278551532033426,0.66796261063777,0.6274305987097065,0.6147686832740213,0.7749333446985793,0.7037548232493868,0.5927109592941324,0.5722633835193014,0.6241895143432878,0.4700155146908487,0.42318937013338026,0.4192171523106884,0.42045072288548296,0.3610723982235764,0.3068227752813811,1.0,1
32,ANGO,ANGIODYNAMICS INC,3841,11.0,14.0,12.0,12.5,13.0,1,1,0.0,0.2987212276214833,0.537962962962963,0.5820107532152469,0.28525299031426277,0.25343148247325503,0.17963184062501472,0.2743732590529248,0.29055339564893706,0.2845424655676952,0.3069395017793594,0.5454867475117483,0.5746134069945205,0.34650642667098003,0.5148856304808219,0.612997739978572,0.3663217081052809,0.4254136762366349,0.4275779624365983,0.4496337739179159,0.36819113769298395,0.40001732402349177,0.0,0
33,AONE,"B456 SYSTEMS, INC. ",3690,13.5,9.5,8.0,20.29,8.75,0,1,54.28571428571429,0.9999999999999998,0.0,0.954836467308506,1.0,1.0,0.23995727385603632,0.5626740947075209,0.5478120605509141,0.5574248364536138,0.536476868327402,0.7608424722045856,0.6788792544572386,0.7573981970568369,0.8093026382225119,0.5791971185642876,0.39083589951908587,0.42874518373598847,0.43051353884437804,0.4290238637954631,0.4144722315481603,0.41065071613658705,1.0,1
34,AOSL,ALPHA & OMEGA SEMICONDUCTOR Ltd,3674,18.0,20.0,16.0,17.7000007629395,18.0,0,0,0.0,0.07774936061381073,0.5101851851851853,0.5572701493203485,0.4480184316832236,0.4534009793214433,0.39448657898614975,0.3565459610027856,0.4988419224088014,0.5009773238274938,0.4830960854092526,0.7238835143072189,0.6261704431731805,0.6533787840633843,0.7227843066891404,0.5828763912046401,0.4875186227745446,0.42774093613720265,0.43000985315510964,0.42403100648474396,0.4009235315155659,0.3999008621909676,1.0,1
35,APEI,AMERICAN PUBLIC EDUCATION INC,8221,20.0,19.0,18.0,35.9199981689453,18.5,0,1,8.108108108108109,0.3437340153452685,0.5416666666666667,0.3903462896263288,0.38175571922284135,0.4331419577147794,0.18336503578361124,0.3732590529247911,0.4138472991976177,0.4118996237585728,0.4101423487544484,0.6496061989383718,0.5746134069945205,0.46679635033365985,0.5298129428260175,0.5637799510641799,0.4015012291483758,0.4269460783945841,0.42770747333301323,0.4246838992831104,0.37143006730653494,0.3639250362358777,1.0,0
36,APKT,ACME PACKET INC,3576,9.5,7.5,6.5,15.9099998474121,7.0,0,1,35.714285714285715,0.5033248081841432,0.513888888888889,0.7890905888568951,0.7605908714511936,0.7025072831945026,0.17412958297167774,0.5779944289693594,0.6038133840681612,0.6064153117832487,0.6094306049822064,0.8066959655488366,0.6477688408646907,0.7573981970568369,0.7647191129018726,0.5969425935344104,0.4350310497196778,0.4278742513662842,0.43200267908529055,0.4157999178005465,0.406198772067381,0.389448317916306,1.0,0
37,ARAY,ACCURAY INC CIK,3841,18.0,18.0,17.0,28.469999313354503,17.5,0,1,2.8571428571428568,0.31508951406649616,0.3953703703703704,0.5560666530028366,0.7276317421422851,0.8351576444843646,0.21079269290754343,0.4721448467966574,0.5221689138886592,0.5178799416995266,0.5435943060498221,0.6821063378461181,0.6737939449932333,0.5376332131935762,0.5479004761577408,0.5521898402247452,0.4511758554548352,0.426883007933707,0.4184140752846666,0.43129038733947167,0.36949680658411865,0.33865362377763064,1.0,1
38,ARBX,ARBINET Corp,7389,17.5,16.0,14.0,116.0,15.0,0,1,16.666666666666664,0.6138107416879794,0.7731481481481481,0.6755441455271907,0.47282842101132744,0.5204811439082392,0.6613031449159726,0.2646239554317549,0.3147075854082224,0.3103031398646435,0.3265124555160142,0.5148739262071188,0.4976298078123816,0.42175419157379,0.6212607441973955,0.5656191452786047,0.3981211589113257,0.42599515776310853,0.41397763289323947,0.42295669258309715,0.38305786049617924,0.42188049829658913,1.0,0
39,ARCL,"Archipelago Learning, Inc.",8200,16.5,17.0,15.0,18.770000457763697,16.0,0,1,3.125,0.2782608695652174,0.5212962962962964,0.7921028324469837,0.48339092445808907,0.5079732904061953,0.16405077672617882,0.5612813370473537,0.7016709405244438,0.6740709774368129,0.6129893238434163,0.84689160395609,0.7371717466146398,0.5334815432384684,0.7146476387446843,0.5744551187112705,0.4474693164195515,0.4248041426420701,0.4283081918416458,0.4235634088461536,0.3404653820641544,0.35714407006046184,1.0,0
40,ARCO,Arcos Dorados Holdings Inc. ,5812,17.0,15.0,13.0,21.2,14.0,0,1,21.428571428571427,0.040920716112531966,0.6083333333333334,0.489094111029045,1.0,1.0,1.0,0.6128133704735376,0.7123831582430309,0.6884879162100173,0.7606761565836299,0.8423162511721455,0.7646533560667278,0.7425748811676769,0.6212607441973955,0.5791971185642876,0.5192052898813215,0.4252379811971438,0.4264675086207156,0.42767235671063086,0.38902465884309234,0.31943456516935914,1.0,0
41,AREX,Approach Resources Inc,1311,12.0,16.0,14.0,12.5900001525879,15.0,1,1,0.0,0.4460358056265985,0.7138888888888891,0.3462390774363145,0.41701225687465576,0.5673524438901206,0.19798288990824475,0.2701949860724234,0.32190421043924233,0.3157716338820658,0.34252669039145905,0.5318563905529049,0.4617809183032885,0.46200856889464004,0.5148856304808219,0.526385806246727,0.412391668506978,0.42565678556926323,0.41693879235584697,0.410968919418299,0.39208918474820115,0.3887860517970515,1.0,0
42,ARII,"American Railcar Industries, Inc. ",3743,21.0,18.0,16.0,22.9549999237061,17.0,0,1,23.529411764705877,0.11457800511508953,0.5305555555555557,0.6314745774861719,0.420960829468011,0.5995404336838076,0.7151983817077444,0.7311977715877437,0.769583919265448,0.7774300337826386,0.7749110320284697,0.8450644354759405,0.8777364776296191,1.0,0.959206949885973,0.5170407650562917,0.4600351185250219,0.42842600865246716,0.42151834200380023,0.4420638240424416,0.4281207178251057,0.4067508444736281,1.0,0
43,ARP,"ARC DOCUMENT SOLUTIONS, INC.",7334,13.0,16.0,14.0,13.75,15.0,1,1,0.0,0.4173913043478261,0.8451674119940379,0.4248890560931737,0.6541588461709875,0.7602944474197652,0.6487786945964816,0.5222841225626741,0.5103399784928447,0.5083439727931124,0.5097864768683273,0.7365841939358069,0.741822718599094,0.7304996881109419,0.6724891935188327,0.5505719323141373,0.392821794265706,0.4271744175550469,0.4308899535518135,0.4469679095555049,0.4151436918704076,0.3839217367131104,1.0,0
44,ARST,ArcSight Inc ,7372,9.0,11.0,9.0,8.77999973297119,10.0,1,0,0.0,0.5974424552429667,0.5120370370370371,0.4573836850258075,0.545281006545032,0.534431699093155,0.2422390440130259,0.5779944289693594,0.7127140375548019,0.6569423887376139,0.6361209964412811,0.8157468678283427,0.6261704431731805,0.7776763038528356,0.8093026382225119,0.5869509439327252,0.4541019496559573,0.42189448320164336,0.4219058748706052,0.40032113998588564,0.3959598538305238,0.38169673050183917,1.0,1
45,ARTE,ARTES MEDICAL INC,2834,6.0,14.0,12.0,7.67,13.0,1,1,0.0,0.8675191815856776,0.250925925925926,0.4340261400503506,0.36097506496849463,0.42856523502488847,0.6487786945964816,0.20612813370473534,0.3377864174042518,0.33158959178370073,0.31227758007117434,0.6308955348748566,0.5112660259289009,0.5034621657153963,0.5584718777222607,0.5565314918150231,0.4385092186128183,0.42576221135920106,0.43790976563708794,0.42198673832308947,0.39876755567408945,0.39694537784263956,1.0,1
46,ARUN,"ARUBA NETWORKS, INC.",3577,11.0,10.0,8.0,14.1499996185303,9.0,0,1,22.222222222222218,0.3764705882352941,0.4842592592592593,0.6259920878728271,0.8829762577109649,0.580441867017856,0.24683131974364836,0.383008356545961,0.5069898254611631,0.5120498943586382,0.4937722419928825,0.6888711943208171,0.5922979427336094,0.5292973096694771,0.5261208215879524,0.6694938274930835,0.4748440914375946,0.4281567340380068,0.4218364839491768,0.4151758426024631,0.36998648175544724,0.33379411377913104,1.0,1
47,ASPV,Aspreva Pharmaceuticals CORP,2834,11.0,15.0,13.0,14.79,14.0,1,1,0.0,0.11867007672634272,0.3287037037037038,0.4777985130471829,0.5650097167239442,0.5485026964125378,0.6487786945964816,0.1267409470752089,0.20473157415832574,0.21241257753624007,0.1806049822064057,0.47586925785852535,0.4542717850430032,0.42175419157379,0.44151078568834795,0.5885552749374444,0.32073678035567355,0.42898827711173865,0.4324916688527439,0.43939581927487825,0.41948514552837324,0.41392503980408707,1.0,1
48,ATEC,"Alphatec Holdings, Inc. ",3841,9.0,12.0,11.0,8.97999954223633,11.5,1,0,0.0,0.4337595907928388,0.0,0.3319668765765067,0.5822431332864978,0.6288929039487707,0.24937752536530872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.566704662596988,0.4582623973557816,0.42781551282020075,0.42693021533103664,0.4422500266750803,0.40583648002586103,0.38626587494983444,1.0,1
49,ATHN,ATHENAHEALTH INC,7389,18.0,16.0,14.0,35.5,15.0,0,1,20.0,0.3273657289002557,0.4601851851851853,0.6629677452376346,0.5518393419560355,0.5096041282914484,0.2524084001310544,0.44707520891364905,0.4780792455951692,0.4720530579502186,0.4955516014234875,0.6983425731913001,0.5310642472787518,0.49455062673232364,0.6518828629873086,0.59879670183289,0.4277956148358325,0.42650113427268255,0.4278758964633952,0.4041814574672523,0.3660355680476712,0.3855505376964009,1.0,1
50,ATRC,"AtriCure, Inc.",3841,12.0,14.0,12.0,14.0799999237061,13.0,1,1,0.0,0.3969309462915601,0.3675925925925927,0.551736751986992,0.29928257675418257,0.39575875973934627,0.12669729591297632,0.1615598885793872,0.2688808007279345,0.2682725660117279,0.2677935943060498,0.5636048869143727,0.598076596088944,0.3888381519264178,0.7254762501100116,0.5423536593564298,0.4254494604774987,0.4266340798326268,0.43777150196321557,0.46145509232737497,0.38738835931940585,0.462552204374109,1.0,1
51,AUXL,AUXILIUM PHARMACEUTICALS INC ,2834,7.5,9.0,8.0,7.199999809265139,8.5,1,0,0.0,0.3396419437340153,0.0,0.11498776419500045,0.4293581432435092,0.4735323725092155,0.08578244251703401,0.22284122562674094,0.2568864256762346,0.2610866937078423,0.2642348754448398,0.5347548119624665,0.49066960757776296,0.29822524885567714,0.5479004761577408,0.5668611516106791,0.3560348539333951,0.4278855975395427,0.4333762670793048,0.4349031102232539,0.36447851376606005,0.42246508108141695,1.0,1
52,AVAV,AeroVironment Inc ,3721,17.0,16.0,14.0,23.9300003051758,15.0,0,1,13.333333333333336,0.4378516624040921,0.6287037037037038,0.4780152780534917,0.39727183945530065,0.5275597002588722,0.3422891058694372,0.27298050139275765,0.3864256762345935,0.3688747782661258,0.3674377224199288,0.5426456513839367,0.6424373194112505,0.41644889621334047,0.46306041859249475,0.5324186915712426,0.4395390693590869,0.42392070990315606,0.40736380036783254,0.44571546438321524,0.36329599530708695,0.34719450118895373,1.0,0
53,AVEO,AVEO PHARMACEUTICALS INC,2834,9.0,15.0,13.0,8.98999977111816,14.0,1,0,0.0,0.31099744245524297,0.23796296296296304,0.7501764136159741,0.5321534075390515,0.6180491099066171,0.13178059507518786,0.4415041782729805,0.6131607246256928,0.6099856508524749,0.5507117437722421,0.7960874278212171,0.8293830130206359,0.5889476770602116,0.7971684783319044,0.553185103039735,0.4796544071206916,0.42720742821998525,0.42901284519258986,0.4502005637406707,0.3679640619576218,0.3957389631844787,1.0,1
54,AVGO,Broadcom Ltd ,3674,15.0,15.0,13.0,16.1800003051758,14.0,0,1,7.142857142857142,0.9999999999999998,0.5787037037037037,0.8057606152463581,1.0,1.0,1.0,0.9860724233983288,0.9090081892629664,0.8822804975877614,0.8176156583629892,1.0,0.9419980229015732,1.0,1.0,0.5791971185642876,0.3788990342405619,0.42565515736776965,0.43372340958011185,0.44040264827720904,0.4139772797974721,0.39695848205696727,1.0,0
